row,col,x_die,y_die,raw_q
-65,-1,-1,-65,QY-065X-001
-65,0,0,-65,QY-065X0000
-65,1,1,-65,QY-065X0001
-65,2,2,-65,QY-065X0002
-65,3,3,-65,QY-065X0003
-65,4,4,-65,QY-065X0004
-65,5,5,-65,QY-065X0005
-65,6,6,-65,QY-065X0006
-65,7,7,-65,QY-065X0007
-65,8,8,-65,QY-065X0008
-65,9,9,-65,QY-065X0009
-65,10,10,-65,QY-065X0010
-65,11,11,-65,QY-065X0011
-64,17,17,-64,QY-064X0017
-64,16,16,-64,QY-064X0016
-64,15,15,-64,QY-064X0015
-64,14,14,-64,QY-064X0014
-64,13,13,-64,QY-064X0013
-64,12,12,-64,QY-064X0012
-64,11,11,-64,QY-064X0011
-64,10,10,-64,QY-064X0010
-64,9,9,-64,QY-064X0009
-64,8,8,-64,QY-064X0008
-64,7,7,-64,QY-064X0007
-64,6,6,-64,QY-064X0006
-64,5,5,-64,QY-064X0005
-64,4,4,-64,QY-064X0004
-64,3,3,-64,QY-064X0003
-64,2,2,-64,QY-064X0002
-64,1,1,-64,QY-064X0001
-64,0,0,-64,QY-064X0000
-64,-1,-1,-64,QY-064X-001
-64,-2,-2,-64,QY-064X-002
-64,-3,-3,-64,QY-064X-003
-64,-4,-4,-64,QY-064X-004
-64,-5,-5,-64,QY-064X-005
-64,-6,-6,-64,QY-064X-006
-64,-7,-7,-64,QY-064X-007
-63,-12,-12,-63,QY-063X-012
-63,-11,-11,-63,QY-063X-011
-63,-10,-10,-63,QY-063X-010
-63,-9,-9,-63,QY-063X-009
-63,-8,-8,-63,QY-063X-008
-63,-7,-7,-63,QY-063X-007
-63,-6,-6,-63,QY-063X-006
-63,-5,-5,-63,QY-063X-005
-63,-4,-4,-63,QY-063X-004
-63,-3,-3,-63,QY-063X-003
-63,-2,-2,-63,QY-063X-002
-63,-1,-1,-63,QY-063X-001
-63,0,0,-63,QY-063X0000
-63,1,1,-63,QY-063X0001
-63,2,2,-63,QY-063X0002
-63,3,3,-63,QY-063X0003
-63,4,4,-63,QY-063X0004
-63,5,5,-63,QY-063X0005
-63,6,6,-63,QY-063X0006
-63,7,7,-63,QY-063X0007
-63,8,8,-63,QY-063X0008
-63,9,9,-63,QY-063X0009
-63,10,10,-63,QY-063X0010
-63,11,11,-63,QY-063X0011
-63,12,12,-63,QY-063X0012
-63,13,13,-63,QY-063X0013
-63,14,14,-63,QY-063X0014
-63,15,15,-63,QY-063X0015
-63,16,16,-63,QY-063X0016
-63,17,17,-63,QY-063X0017
-63,18,18,-63,QY-063X0018
-63,19,19,-63,QY-063X0019
-63,20,20,-63,QY-063X0020
-63,21,21,-63,QY-063X0021
-63,22,22,-63,QY-063X0022
-62,25,25,-62,QY-062X0025
-62,24,24,-62,QY-062X0024
-62,23,23,-62,QY-062X0023
-62,22,22,-62,QY-062X0022
-62,21,21,-62,QY-062X0021
-62,20,20,-62,QY-062X0020
-62,19,19,-62,QY-062X0019
-62,18,18,-62,QY-062X0018
-62,17,17,-62,QY-062X0017
-62,16,16,-62,QY-062X0016
-62,15,15,-62,QY-062X0015
-62,14,14,-62,QY-062X0014
-62,13,13,-62,QY-062X0013
-62,12,12,-62,QY-062X0012
-62,11,11,-62,QY-062X0011
-62,10,10,-62,QY-062X0010
-62,9,9,-62,QY-062X0009
-62,8,8,-62,QY-062X0008
-62,7,7,-62,QY-062X0007
-62,6,6,-62,QY-062X0006
-62,5,5,-62,QY-062X0005
-62,4,4,-62,QY-062X0004
-62,3,3,-62,QY-062X0003
-62,2,2,-62,QY-062X0002
-62,1,1,-62,QY-062X0001
-62,0,0,-62,QY-062X0000
-62,-1,-1,-62,QY-062X-001
-62,-2,-2,-62,QY-062X-002
-62,-3,-3,-62,QY-062X-003
-62,-4,-4,-62,QY-062X-004
-62,-5,-5,-62,QY-062X-005
-62,-6,-6,-62,QY-062X-006
-62,-7,-7,-62,QY-062X-007
-62,-8,-8,-62,QY-062X-008
-62,-9,-9,-62,QY-062X-009
-62,-10,-10,-62,QY-062X-010
-62,-11,-11,-62,QY-062X-011
-62,-12,-12,-62,QY-062X-012
-62,-13,-13,-62,QY-062X-013
-62,-14,-14,-62,QY-062X-014
-62,-15,-15,-62,QY-062X-015
-61,-18,-18,-61,QY-061X-018
-61,-17,-17,-61,QY-061X-017
-61,-16,-16,-61,QY-061X-016
-61,-15,-15,-61,QY-061X-015
-61,-14,-14,-61,QY-061X-014
-61,-13,-13,-61,QY-061X-013
-61,-12,-12,-61,QY-061X-012
-61,-11,-11,-61,QY-061X-011
-61,-10,-10,-61,QY-061X-010
-61,-9,-9,-61,QY-061X-009
-61,-8,-8,-61,QY-061X-008
-61,-7,-7,-61,QY-061X-007
-61,-6,-6,-61,QY-061X-006
-61,-5,-5,-61,QY-061X-005
-61,-4,-4,-61,QY-061X-004
-61,-3,-3,-61,QY-061X-003
-61,-2,-2,-61,QY-061X-002
-61,-1,-1,-61,QY-061X-001
-61,0,0,-61,QY-061X0000
-61,1,1,-61,QY-061X0001
-61,2,2,-61,QY-061X0002
-61,3,3,-61,QY-061X0003
-61,4,4,-61,QY-061X0004
-61,5,5,-61,QY-061X0005
-61,6,6,-61,QY-061X0006
-61,7,7,-61,QY-061X0007
-61,8,8,-61,QY-061X0008
-61,9,9,-61,QY-061X0009
-61,10,10,-61,QY-061X0010
-61,11,11,-61,QY-061X0011
-61,12,12,-61,QY-061X0012
-61,13,13,-61,QY-061X0013
-61,14,14,-61,QY-061X0014
-61,15,15,-61,QY-061X0015
-61,16,16,-61,QY-061X0016
-61,17,17,-61,QY-061X0017
-61,18,18,-61,QY-061X0018
-61,19,19,-61,QY-061X0019
-61,20,20,-61,QY-061X0020
-61,21,21,-61,QY-061X0021
-61,22,22,-61,QY-061X0022
-61,23,23,-61,QY-061X0023
-61,24,24,-61,QY-061X0024
-61,25,25,-61,QY-061X0025
-61,26,26,-61,QY-061X0026
-61,27,27,-61,QY-061X0027
-61,28,28,-61,QY-061X0028
-60,31,31,-60,QY-060X0031
-60,30,30,-60,QY-060X0030
-60,29,29,-60,QY-060X0029
-60,28,28,-60,QY-060X0028
-60,27,27,-60,QY-060X0027
-60,26,26,-60,QY-060X0026
-60,25,25,-60,QY-060X0025
-60,24,24,-60,QY-060X0024
-60,23,23,-60,QY-060X0023
-60,22,22,-60,QY-060X0022
-60,21,21,-60,QY-060X0021
-60,20,20,-60,QY-060X0020
-60,19,19,-60,QY-060X0019
-60,18,18,-60,QY-060X0018
-60,17,17,-60,QY-060X0017
-60,16,16,-60,QY-060X0016
-60,15,15,-60,QY-060X0015
-60,14,14,-60,QY-060X0014
-60,13,13,-60,QY-060X0013
-60,12,12,-60,QY-060X0012
-60,11,11,-60,QY-060X0011
-60,10,10,-60,QY-060X0010
-60,9,9,-60,QY-060X0009
-60,8,8,-60,QY-060X0008
-60,7,7,-60,QY-060X0007
-60,6,6,-60,QY-060X0006
-60,5,5,-60,QY-060X0005
-60,4,4,-60,QY-060X0004
-60,3,3,-60,QY-060X0003
-60,2,2,-60,QY-060X0002
-60,1,1,-60,QY-060X0001
-60,0,0,-60,QY-060X0000
-60,-1,-1,-60,QY-060X-001
-60,-2,-2,-60,QY-060X-002
-60,-3,-3,-60,QY-060X-003
-60,-4,-4,-60,QY-060X-004
-60,-5,-5,-60,QY-060X-005
-60,-6,-6,-60,QY-060X-006
-60,-7,-7,-60,QY-060X-007
-60,-8,-8,-60,QY-060X-008
-60,-9,-9,-60,QY-060X-009
-60,-10,-10,-60,QY-060X-010
-60,-11,-11,-60,QY-060X-011
-60,-12,-12,-60,QY-060X-012
-60,-13,-13,-60,QY-060X-013
-60,-14,-14,-60,QY-060X-014
-60,-15,-15,-60,QY-060X-015
-60,-16,-16,-60,QY-060X-016
-60,-17,-17,-60,QY-060X-017
-60,-18,-18,-60,QY-060X-018
-60,-19,-19,-60,QY-060X-019
-60,-20,-20,-60,QY-060X-020
