row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
28,0,159,R0C0,,0,-28000,0,28000,0,28000,1
28,1,159,R0C1,,1000,-28000,1000,28000,0,28000,1
28,2,159,R0C2,,2000,-28000,2000,28000,0,28000,1
28,3,159,R0C3,,3000,-28000,3000,28000,0,28000,1
28,4,159,R0C4,,4000,-28000,4000,28000,0,28000,1
28,5,159,R0C5,,5000,-28000,5000,28000,0,28000,1
28,6,159,R0C6,,6000,-28000,6000,28000,0,28000,1
28,7,159,R0C7,,7000,-28000,7000,28000,0,28000,1
28,8,159,R0C8,,8000,-28000,8000,28000,0,28000,1
29,0,159,R1C0,,0,-29000,0,29000,0,28000,1
29,1,159,R1C1,,1000,-29000,1000,29000,0,28000,1
29,2,159,R1C2,,2000,-29000,2000,29000,0,28000,1
29,3,159,R1C3,,3000,-29000,3000,29000,0,28000,1
29,4,159,R1C4,,4000,-29000,4000,29000,0,28000,1
29,5,159,R1C5,,5000,-29000,5000,29000,0,28000,1
29,6,159,R1C6,,6000,-29000,6000,29000,0,28000,1
29,7,159,R1C7,,7000,-29000,7000,29000,0,28000,1
29,8,159,R1C8,,8000,-29000,8000,29000,0,28000,1
30,0,159,R2C0,,0,-30000,0,30000,0,28000,1
30,1,159,R2C1,,1000,-30000,1000,30000,0,28000,1
30,2,159,R2C2,,2000,-30000,2000,30000,0,28000,1
30,3,159,R2C3,,3000,-30000,3000,30000,0,28000,1
30,4,159,R2C4,,4000,-30000,4000,30000,0,28000,1
30,5,159,R2C5,,5000,-30000,5000,30000,0,28000,1
30,6,159,R2C6,,6000,-30000,6000,30000,0,28000,1
30,7,159,R2C7,,7000,-30000,7000,30000,0,28000,1
30,8,159,R2C8,,8000,-30000,8000,30000,0,28000,1
31,0,159,R3C0,,0,-31000,0,31000,0,28000,1
31,1,159,R3C1,,1000,-31000,1000,31000,0,28000,1
31,2,159,R3C2,,2000,-31000,2000,31000,0,28000,1
31,3,159,R3C3,,3000,-31000,3000,31000,0,28000,1
31,4,159,R3C4,,4000,-31000,4000,31000,0,28000,1
31,5,159,R3C5,,5000,-31000,5000,31000,0,28000,1
31,6,159,R3C6,,6000,-31000,6000,31000,0,28000,1
31,7,159,R3C7,,7000,-31000,7000,31000,0,28000,1
31,8,159,R3C8,,8000,-31000,8000,31000,0,28000,1
32,0,159,R4C0,,0,-32000,0,32000,0,28000,1
32,1,159,R4C1,,1000,-32000,1000,32000,0,28000,1
32,2,159,R4C2,,2000,-32000,2000,32000,0,28000,1
32,3,159,R4C3,,3000,-32000,3000,32000,0,28000,1
32,4,159,R4C4,,4000,-32000,4000,32000,0,28000,1
32,5,159,R4C5,,5000,-32000,5000,32000,0,28000,1
32,6,159,R4C6,,6000,-32000,6000,32000,0,28000,1
32,7,159,R4C7,,7000,-32000,7000,32000,0,28000,1
32,8,159,R4C8,,8000,-32000,8000,32000,0,28000,1
33,0,159,R5C0,,0,-33000,0,33000,0,28000,1
33,1,159,R5C1,,1000,-33000,1000,33000,0,28000,1
33,2,159,R5C2,,2000,-33000,2000,33000,0,28000,1
33,3,159,R5C3,,3000,-33000,3000,33000,0,28000,1
33,4,159,R5C4,,4000,-33000,4000,33000,0,28000,1
33,5,159,R5C5,,5000,-33000,5000,33000,0,28000,1
33,6,159,R5C6,,6000,-33000,6000,33000,0,28000,1
33,7,159,R5C7,,7000,-33000,7000,33000,0,28000,1
33,8,159,R5C8,,8000,-33000,8000,33000,0,28000,1
34,0,159,R6C0,,0,-34000,0,34000,0,28000,1
34,1,159,R6C1,,1000,-34000,1000,34000,0,28000,1
34,2,159,R6C2,,2000,-34000,2000,34000,0,28000,1
34,3,159,R6C3,,3000,-34000,3000,34000,0,28000,1
34,4,159,R6C4,,4000,-34000,4000,34000,0,28000,1
34,5,159,R6C5,,5000,-34000,5000,34000,0,28000,1
34,6,159,R6C6,2-7-7-6,6000,-34000,6000,34000,0,28000,1
34,7,159,R6C7,1-7-7-6,7000,-34000,7000,34000,0,28000,1
34,8,159,R6C8,,8000,-34000,8000,34000,0,28000,1
-35,-27,34,R0C0,,-27000,35000,-27000,-35000,-27000,-35000,1
-35,-26,34,R0C1,,-26000,35000,-26000,-35000,-27000,-35000,1
-35,-25,34,R0C2,,-25000,35000,-25000,-35000,-27000,-35000,1
-35,-24,34,R0C3,,-24000,35000,-24000,-35000,-27000,-35000,1
-35,-23,34,R0C4,,-23000,35000,-23000,-35000,-27000,-35000,1
-35,-22,34,R0C5,,-22000,35000,-22000,-35000,-27000,-35000,1
-35,-21,34,R0C6,,-21000,35000,-21000,-35000,-27000,-35000,1
-35,-20,34,R0C7,,-20000,35000,-20000,-35000,-27000,-35000,1
-35,-19,34,R0C8,,-19000,35000,-19000,-35000,-27000,-35000,1
-34,-27,34,R1C0,,-27000,34000,-27000,-34000,-27000,-35000,1
-34,-26,34,R1C1,,-26000,34000,-26000,-34000,-27000,-35000,1
-34,-25,34,R1C2,,-25000,34000,-25000,-34000,-27000,-35000,1
