DIE_ID,DIE_ID_4UP,DIE_ID_16UP,ABS_COL,ABS_ROW,INTRA_COL,INTRA_ROW,COLUMN_RETICLE,ROW_RETICLE,NOM_X_MM_1UP,NOM_Y_MM_1UP,EG_MOX_1UP,EG_MOY_1UP,EG_MOX_4UP,EG_MOY_4UP,EG_MOX_16UP,EG_MOY_16UP,ACCR_JY_1UP,ACCR_JX_1UP,ACCR_JY_4UP,ACCR_JX_4UP,ACCR_JY_16UP,ACCR_JX_16UP
9-1-7-19,T-9-1-7-19,T-9-1-7-19,63,133,9,1,7,19,-5.425,71.61,1,63,,,,,63,-1,,,,
9-2-7-19,T-9-2-7-19,T-9-2-7-19,63,132,9,2,7,19,-5.425,70.525,1,62,,,,,62,-1,,,,
9-3-7-19,T-9-3-7-19,T-9-3-7-19,63,131,9,3,7,19,-5.425,69.44,1,61,,,,,61,-1,,,,
9-4-7-19,T-9-4-7-19,T-9-4-7-19,63,130,9,4,7,19,-5.425,68.355,1,60,,,,,60,-1,,,,
9-5-7-19,T-9-5-7-19,T-9-5-7-19,63,129,9,5,7,19,-5.425,67.27,1,59,,,,,59,-1,,,,
9-6-7-19,T-9-6-7-19,T-9-6-7-19,63,128,9,6,7,19,-5.425,66.185,1,58,,,,,58,-1,,,,
1-7-7-19,T-1-7-7-19,T-1-7-7-19,55,127,1,7,7,19,-14.105,65.1,9,57,,,,,57,-9,,,,
2-7-7-19,T-2-7-7-19,T-2-7-7-19,56,127,2,7,7,19,-13.02,65.1,8,57,,,,,57,-8,,,,
3-7-7-19,T-3-7-7-19,T-3-7-7-19,57,127,3,7,7,19,-11.935,65.1,7,57,,,,,57,-7,,,,
4-7-7-19,T-4-7-7-19,T-4-7-7-19,58,127,4,7,7,19,-10.85,65.1,6,57,,,,,57,-6,,,,
5-7-7-19,T-5-7-7-19,T-5-7-7-19,59,127,5,7,7,19,-9.765,65.1,5,57,,,,,57,-5,,,,
6-7-7-19,T-6-7-7-19,T-6-7-7-19,60,127,6,7,7,19,-8.68,65.1,4,57,,,,,57,-4,,,,
7-7-7-19,T-7-7-7-19,T-7-7-7-19,61,127,7,7,7,19,-7.595,65.1,3,57,,,,,57,-3,,,,
8-7-7-19,T-8-7-7-19,T-8-7-7-19,62,127,8,7,7,19,-6.51,65.1,2,57,,,,,57,-2,,,,
9-7-7-19,T-9-7-7-19,T-9-7-7-19,63,127,9,7,7,19,-5.425,65.1,1,57,,,,,57,-1,,,,
9-1-8-19,T-9-1-8-19,T-9-1-8-19,72,133,9,1,8,19,4.34,71.61,-8,63,,,,,63,8,,,,
9-2-8-19,T-9-2-8-19,T-9-2-8-19,72,132,9,2,8,19,4.34,70.525,-8,62,,,,,62,8,,,,
9-3-8-19,T-9-3-8-19,T-9-3-8-19,72,131,9,3,8,19,4.34,69.44,-8,61,,,,,61,8,,,,
9-4-8-19,T-9-4-8-19,T-9-4-8-19,72,130,9,4,8,19,4.34,68.355,-8,60,,,,,60,8,,,,
9-5-8-19,T-9-5-8-19,T-9-5-8-19,72,129,9,5,8,19,4.34,67.27,-8,59,,,,,59,8,,,,
9-6-8-19,T-9-6-8-19,T-9-6-8-19,72,128,9,6,8,19,4.34,66.185,-8,58,,,,,58,8,,,,
1-7-8-19,T-1-7-8-19,T-1-7-8-19,64,127,1,7,8,19,-4.34,65.1,0,57,,,,,57,0,,,,
2-7-8-19,T-2-7-8-19,T-2-7-8-19,65,127,2,7,8,19,-3.255,65.1,-1,57,,,,,57,1,,,,
3-7-8-19,T-3-7-8-19,T-3-7-8-19,66,127,3,7,8,19,-2.17,65.1,-2,57,,,,,57,2,,,,
4-7-8-19,T-4-7-8-19,T-4-7-8-19,67,127,4,7,8,19,-1.085,65.1,-3,57,,,,,57,3,,,,
5-7-8-19,T-5-7-8-19,T-5-7-8-19,68,127,5,7,8,19,0,65.1,-4,57,,,,,57,4,,,,
6-7-8-19,T-6-7-8-19,T-6-7-8-19,69,127,6,7,8,19,1.085,65.1,-5,57,,,,,57,5,,,,
7-7-8-19,T-7-7-8-19,T-7-7-8-19,70,127,7,7,8,19,2.17,65.1,-6,57,,,,,57,6,,,,
8-7-8-19,T-8-7-8-19,T-8-7-8-19,71,127,8,7,8,19,3.255,65.1,-7,57,,,,,57,7,,,,
9-7-8-19,T-9-7-8-19,T-9-7-8-19,72,127,9,7,8,19,4.34,65.1,-8,57,,,,,57,8,,,,
9-1-9-19,T-9-1-9-19,T-9-1-9-19,81,133,9,1,9,19,14.105,71.61,-17,63,,,,,63,17,,,,
9-2-9-19,T-9-2-9-19,T-9-2-9-19,81,132,9,2,9,19,14.105,70.525,-17,62,,,,,62,17,,,,
9-3-9-19,T-9-3-9-19,T-9-3-9-19,81,131,9,3,9,19,14.105,69.44,-17,61,,,,,61,17,,,,
9-4-9-19,T-9-4-9-19,T-9-4-9-19,81,130,9,4,9,19,14.105,68.355,-17,60,,,,,60,17,,,,
9-5-9-19,T-9-5-9-19,T-9-5-9-19,81,129,9,5,9,19,14.105,67.27,-17,59,,,,,59,17,,,,
9-6-9-19,T-9-6-9-19,T-9-6-9-19,81,128,9,6,9,19,14.105,66.185,-17,58,,,,,58,17,,,,
1-7-9-19,T-1-7-9-19,T-1-7-9-19,73,127,1,7,9,19,5.425,65.1,-9,57,,,,,57,9,,,,
2-7-9-19,T-2-7-9-19,T-2-7-9-19,74,127,2,7,9,19,6.51,65.1,-10,57,,,,,57,10,,,,
3-7-9-19,T-3-7-9-19,T-3-7-9-19,75,127,3,7,9,19,7.595,65.1,-11,57,,,,,57,11,,,,
4-7-9-19,T-4-7-9-19,T-4-7-9-19,76,127,4,7,9,19,8.68,65.1,-12,57,,,,,57,12,,,,
5-7-9-19,T-5-7-9-19,T-5-7-9-19,77,127,5,7,9,19,9.765,65.1,-13,57,,,,,57,13,,,,
6-7-9-19,T-6-7-9-19,T-6-7-9-19,78,127,6,7,9,19,10.85,65.1,-14,57,,,,,57,14,,,,
7-7-9-19,T-7-7-9-19,T-7-7-9-19,79,127,7,7,9,19,11.935,65.1,-15,57,,,,,57,15,,,,
8-7-9-19,T-8-7-9-19,T-8-7-9-19,80,127,8,7,9,19,13.02,65.1,-16,57,,,,,57,16,,,,
9-7-9-19,T-9-7-9-19,T-9-7-9-19,81,127,9,7,9,19,14.105,65.1,-17,57,,,,,57,17,,,,
9-1-5-18,T-9-1-5-18,T-9-1-5-18,45,126,9,1,5,18,-24.955,64.015,19,56,,,,,56,-19,,,,
9-2-5-18,T-9-2-5-18,T-9-2-5-18,45,125,9,2,5,18,-24.955,62.93,19,55,,,,,55,-19,,,,
9-3-5-18,T-9-3-5-18,T-9-3-5-18,45,124,9,3,5,18,-24.955,61.845,19,54,,,,,54,-19,,,,
9-4-5-18,T-9-4-5-18,T-9-4-5-18,45,123,9,4,5,18,-24.955,60.76,19,53,,,,,53,-19,,,,
9-5-5-18,T-9-5-5-18,T-9-5-5-18,45,122,9,5,5,18,-24.955,59.675,19,52,,,,,52,-19,,,,
9-6-5-18,T-9-6-5-18,T-9-6-5-18,45,121,9,6,5,18,-24.955,58.59,19,51,,,,,51,-19,,,,
1-7-5-18,T-1-7-5-18,T-1-7-5-18,37,120,1,7,5,18,-33.635,57.505,27,50,,,,,50,-27,,,,
2-7-5-18,T-2-7-5-18,T-2-7-5-18,38,120,2,7,5,18,-32.55,57.505,26,50,,,,,50,-26,,,,
3-7-5-18,T-3-7-5-18,T-3-7-5-18,39,120,3,7,5,18,-31.465,57.505,25,50,,,,,50,-25,,,,
4-7-5-18,T-4-7-5-18,T-4-7-5-18,40,120,4,7,5,18,-30.38,57.505,24,50,,,,,50,-24,,,,
5-7-5-18,T-5-7-5-18,T-5-7-5-18,41,120,5,7,5,18,-29.295,57.505,23,50,,,,,50,-23,,,,
6-7-5-18,T-6-7-5-18,T-6-7-5-18,42,120,6,7,5,18,-28.21,57.505,22,50,,,,,50,-22,,,,
7-7-5-18,T-7-7-5-18,T-7-7-5-18,43,120,7,7,5,18,-27.125,57.505,21,50,,,,,50,-21,,,,
8-7-5-18,T-8-7-5-18,T-8-7-5-18,44,120,8,7,5,18,-26.04,57.505,20,50,,,,,50,-20,,,,
9-7-5-18,T-9-7-5-18,T-9-7-5-18,45,120,9,7,5,18,-24.955,57.505,19,50,,,,,50,-19,,,,
9-1-6-18,T-9-1-6-18,T-9-1-6-18,54,126,9,1,6,18,-15.19,64.015,10,56,,,,,56,-10,,,,
9-2-6-18,T-9-2-6-18,T-9-2-6-18,54,125,9,2,6,18,-15.19,62.93,10,55,,,,,55,-10,,,,
9-3-6-18,T-9-3-6-18,T-9-3-6-18,54,124,9,3,6,18,-15.19,61.845,10,54,,,,,54,-10,,,,
9-4-6-18,T-9-4-6-18,T-9-4-6-18,54,123,9,4,6,18,-15.19,60.76,10,53,,,,,53,-10,,,,
