die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00001,gds_references,,,26430.0,3290.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00002,gds_references,,,-44050.0,3290.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00003,gds_references,,,44050.0,0.0,Target_Shot_R7,,1,UNTESTED,Generated from selected top-cell references
D00004,gds_references,,,-44050.0,0.0,Target_Shot_R7,,1,UNTESTED,Generated from selected top-cell references
D00005,gds_references,,,-8810.0,3290.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00006,gds_references,,,61670.0,-16450.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00007,gds_references,,,61670.0,-14805.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00008,gds_references,,,61670.0,3290.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00009,gds_references,,,61670.0,4935.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00010,gds_references,,,61670.0,23030.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00011,gds_references,,,61670.0,24675.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00012,gds_references,,,26430.0,42770.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00013,gds_references,,,26430.0,44415.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00014,gds_references,,,26430.0,23030.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00015,gds_references,,,26430.0,24675.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00016,gds_references,,,26430.0,-55930.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00017,gds_references,,,-8810.0,-55930.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00018,gds_references,,,26430.0,-16450.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00019,gds_references,,,26430.0,-14805.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00020,gds_references,,,26430.0,-36190.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00021,gds_references,,,26430.0,-34545.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00022,gds_references,,,-44050.0,-36190.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00023,gds_references,,,-44050.0,-34545.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00024,gds_references,,,-44050.0,-16450.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00025,gds_references,,,-44050.0,-14805.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00026,gds_references,,,-8810.0,-36190.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00027,gds_references,,,-8810.0,-34545.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00028,gds_references,,,-8810.0,-16450.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00029,gds_references,,,-8810.0,-14805.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00030,gds_references,,,-8810.0,4935.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00031,gds_references,,,-8810.0,23030.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00032,gds_references,,,-8810.0,24675.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00033,gds_references,,,-8810.0,42770.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00034,gds_references,,,-8810.0,44415.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00035,gds_references,,,-44050.0,42770.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00036,gds_references,,,-44050.0,44415.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00037,gds_references,,,-44050.0,23030.0,test_die,,1,UNTESTED,Generated from selected top-cell references
D00038,gds_references,,,-40526.0,46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00039,gds_references,,,-47574.0,-1645.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00040,gds_references,,,-44050.0,-1645.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00041,gds_references,,,-40526.0,-1645.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00042,gds_references,,,-47574.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00043,gds_references,,,-54622.0,-37835.0,single_die,,1,UNTESTED,Generated from selected top-cell references
