row,col,x_die,y_die,raw_q
-41,-6,-6,-41,QY-041X-006
-41,-5,-5,-41,QY-041X-005
-41,-4,-4,-41,QY-041X-004
-41,-3,-3,-41,QY-041X-003
-41,-2,-2,-41,QY-041X-002
-41,-1,-1,-41,QY-041X-001
-41,0,0,-41,QY-041X0000
-41,1,1,-41,QY-041X0001
-41,2,2,-41,QY-041X0002
-41,3,3,-41,QY-041X0003
-41,4,4,-41,QY-041X0004
-40,6,6,-40,QY-040X0006
-40,5,5,-40,QY-040X0005
-40,4,4,-40,QY-040X0004
-40,3,3,-40,QY-040X0003
-40,2,2,-40,QY-040X0002
-40,1,1,-40,QY-040X0001
-40,0,0,-40,QY-040X0000
-40,-1,-1,-40,QY-040X-001
-40,-2,-2,-40,QY-040X-002
-40,-3,-3,-40,QY-040X-003
-40,-4,-4,-40,QY-040X-004
-40,-5,-5,-40,QY-040X-005
-40,-6,-6,-40,QY-040X-006
-40,-7,-7,-40,QY-040X-007
-39,-8,-8,-39,QY-039X-008
-39,-7,-7,-39,QY-039X-007
-39,-6,-6,-39,QY-039X-006
-39,-5,-5,-39,QY-039X-005
-39,-4,-4,-39,QY-039X-004
-39,-3,-3,-39,QY-039X-003
-39,-2,-2,-39,QY-039X-002
-39,-1,-1,-39,QY-039X-001
-39,0,0,-39,QY-039X0000
-39,1,1,-39,QY-039X0001
-39,2,2,-39,QY-039X0002
-39,3,3,-39,QY-039X0003
-39,4,4,-39,QY-039X0004
-39,5,5,-39,QY-039X0005
-39,6,6,-39,QY-039X0006
-39,7,7,-39,QY-039X0007
-38,8,8,-38,QY-038X0008
-38,7,7,-38,QY-038X0007
-38,6,6,-38,QY-038X0006
-38,5,5,-38,QY-038X0005
-38,4,4,-38,QY-038X0004
-38,3,3,-38,QY-038X0003
-38,2,2,-38,QY-038X0002
-38,1,1,-38,QY-038X0001
-38,0,0,-38,QY-038X0000
-38,-1,-1,-38,QY-038X-001
-38,-2,-2,-38,QY-038X-002
-38,-3,-3,-38,QY-038X-003
-38,-4,-4,-38,QY-038X-004
-38,-5,-5,-38,QY-038X-005
-38,-6,-6,-38,QY-038X-006
-38,-7,-7,-38,QY-038X-007
-38,-8,-8,-38,QY-038X-008
-38,-9,-9,-38,QY-038X-009
-37,-10,-10,-37,QY-037X-010
-37,-9,-9,-37,QY-037X-009
-37,-8,-8,-37,QY-037X-008
-37,-7,-7,-37,QY-037X-007
-37,-6,-6,-37,QY-037X-006
-37,-5,-5,-37,QY-037X-005
-37,-4,-4,-37,QY-037X-004
-37,-3,-3,-37,QY-037X-003
-37,-2,-2,-37,QY-037X-002
-37,-1,-1,-37,QY-037X-001
-37,0,0,-37,QY-037X0000
-37,1,1,-37,QY-037X0001
-37,2,2,-37,QY-037X0002
-37,3,3,-37,QY-037X0003
-37,4,4,-37,QY-037X0004
-37,5,5,-37,QY-037X0005
-37,6,6,-37,QY-037X0006
-37,7,7,-37,QY-037X0007
-37,8,8,-37,QY-037X0008
-37,9,9,-37,QY-037X0009
-36,9,9,-36,QY-036X0009
-36,8,8,-36,QY-036X0008
-36,7,7,-36,QY-036X0007
-36,6,6,-36,QY-036X0006
-36,5,5,-36,QY-036X0005
-36,4,4,-36,QY-036X0004
-36,3,3,-36,QY-036X0003
-36,2,2,-36,QY-036X0002
-36,1,1,-36,QY-036X0001
-36,0,0,-36,QY-036X0000
-36,-1,-1,-36,QY-036X-001
-36,-2,-2,-36,QY-036X-002
-36,-3,-3,-36,QY-036X-003
-36,-4,-4,-36,QY-036X-004
-36,-5,-5,-36,QY-036X-005
-36,-6,-6,-36,QY-036X-006
-36,-7,-7,-36,QY-036X-007
-36,-8,-8,-36,QY-036X-008
-36,-9,-9,-36,QY-036X-009
-36,-10,-10,-36,QY-036X-010
-35,-11,-11,-35,QY-035X-011
-35,-10,-10,-35,QY-035X-010
-35,-9,-9,-35,QY-035X-009
-35,-8,-8,-35,QY-035X-008
-35,-7,-7,-35,QY-035X-007
-35,-6,-6,-35,QY-035X-006
-35,-5,-5,-35,QY-035X-005
-35,-4,-4,-35,QY-035X-004
-35,-3,-3,-35,QY-035X-003
-35,-2,-2,-35,QY-035X-002
-35,-1,-1,-35,QY-035X-001
-35,0,0,-35,QY-035X0000
-35,1,1,-35,QY-035X0001
-35,2,2,-35,QY-035X0002
-35,3,3,-35,QY-035X0003
-35,4,4,-35,QY-035X0004
-35,5,5,-35,QY-035X0005
-35,6,6,-35,QY-035X0006
-35,7,7,-35,QY-035X0007
-35,8,8,-35,QY-035X0008
-35,9,9,-35,QY-035X0009
-35,10,10,-35,QY-035X0010
-34,11,11,-34,QY-034X0011
-34,10,10,-34,QY-034X0010
-34,9,9,-34,QY-034X0009
-34,8,8,-34,QY-034X0008
-34,7,7,-34,QY-034X0007
-34,6,6,-34,QY-034X0006
-34,5,5,-34,QY-034X0005
-34,4,4,-34,QY-034X0004
-34,3,3,-34,QY-034X0003
-34,2,2,-34,QY-034X0002
-34,1,1,-34,QY-034X0001
-34,0,0,-34,QY-034X0000
-34,-1,-1,-34,QY-034X-001
-34,-2,-2,-34,QY-034X-002
-34,-3,-3,-34,QY-034X-003
-34,-4,-4,-34,QY-034X-004
-34,-5,-5,-34,QY-034X-005
