row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,14,1,R0C0,NA,49294,0,49294,0,49294,0,1
0,15,1,R0C1,NA,52815,0,52815,0,49294,0,1
1,14,1,R1C0,92-74,49294,-1642,49294,1642,49294,0,1
1,15,1,R1C1,93-70,52815,-1642,52815,1642,49294,0,1
0,16,2,R0C0,A3-01,56336,0,56336,0,56336,0,1
0,17,2,R0C1,A3-02,59857,0,59857,0,56336,0,1
1,16,2,R1C0,93-71,56336,-1642,56336,1642,56336,0,1
1,17,2,R1C1,93-72,59857,-1642,59857,1642,56336,0,1
0,18,3,R0C0,A3-03,63378,0,63378,0,63378,0,1
0,19,3,R0C1,A3-04,66899,0,66899,0,63378,0,1
1,18,3,R1C0,93-73,63378,-1642,63378,1642,63378,0,1
1,19,3,R1C1,93-74,66899,-1642,66899,1642,63378,0,1
0,20,4,R0C0,A4-00,70420,0,70420,0,70420,0,1
0,21,4,R0C1,A4-01,73941,0,73941,0,70420,0,1
1,20,4,R1C0,94-70,70420,-1642,70420,1642,70420,0,1
1,21,4,R1C1,94-71,73941,-1642,73941,1642,70420,0,1
0,22,5,R0C0,A4-02,77462,0,77462,0,77462,0,1
0,23,5,R0C1,A4-03,80983,0,80983,0,77462,0,1
1,22,5,R1C0,94-72,77462,-1642,77462,1642,77462,0,1
1,23,5,R1C1,94-73,80983,-1642,80983,1642,77462,0,1
0,24,6,R0C0,NA,84504,0,84504,0,84504,0,1
0,25,6,R0C1,NA,88025,0,88025,0,84504,0,1
1,24,6,R1C0,94-74,84504,-1642,84504,1642,84504,0,1
1,25,6,R1C1,95-70,88025,-1642,88025,1642,84504,0,1
2,12,7,R0C0,NA,42252,-3284,42252,3284,42252,3284,1
2,13,7,R0C1,92-63,45773,-3284,45773,3284,42252,3284,1
3,12,7,R1C0,92-52,42252,-4926,42252,4926,42252,3284,1
3,13,7,R1C1,92-53,45773,-4926,45773,4926,42252,3284,1
2,14,8,R0C0,92-64,49294,-3284,49294,3284,49294,3284,1
2,15,8,R0C1,93-60,52815,-3284,52815,3284,49294,3284,1
3,14,8,R1C0,92-54,49294,-4926,49294,4926,49294,3284,1
3,15,8,R1C1,93-50,52815,-4926,52815,4926,49294,3284,1
2,16,9,R0C0,93-61,56336,-3284,56336,3284,56336,3284,1
2,17,9,R0C1,PCM,59857,-3284,59857,3284,56336,3284,1
3,16,9,R1C0,93-51,56336,-4926,56336,4926,56336,3284,1
3,17,9,R1C1,93-52,59857,-4926,59857,4926,56336,3284,1
2,18,10,R0C0,93-63,63378,-3284,63378,3284,63378,3284,1
2,19,10,R0C1,93-64,66899,-3284,66899,3284,63378,3284,1
3,18,10,R1C0,93-53,63378,-4926,63378,4926,63378,3284,1
3,19,10,R1C1,93-54,66899,-4926,66899,4926,63378,3284,1
2,20,11,R0C0,94-60,70420,-3284,70420,3284,70420,3284,1
2,21,11,R0C1,94-61,73941,-3284,73941,3284,70420,3284,1
3,20,11,R1C0,94-50,70420,-4926,70420,4926,70420,3284,1
3,21,11,R1C1,94-51,73941,-4926,73941,4926,70420,3284,1
2,22,12,R0C0,94-62,77462,-3284,77462,3284,77462,3284,1
2,23,12,R0C1,94-63,80983,-3284,80983,3284,77462,3284,1
3,22,12,R1C0,94-52,77462,-4926,77462,4926,77462,3284,1
3,23,12,R1C1,94-53,80983,-4926,80983,4926,77462,3284,1
2,24,13,R0C0,94-64,84504,-3284,84504,3284,84504,3284,1
2,25,13,R0C1,95-60,88025,-3284,88025,3284,84504,3284,1
3,24,13,R1C0,94-54,84504,-4926,84504,4926,84504,3284,1
3,25,13,R1C1,95-50,88025,-4926,88025,4926,84504,3284,1
2,26,14,R0C0,95-61,91546,-3284,91546,3284,91546,3284,1
2,27,14,R0C1,NA,95067,-3284,95067,3284,91546,3284,1
3,26,14,R1C0,95-51,91546,-4926,91546,4926,91546,3284,1
3,27,14,R1C1,95-52,95067,-4926,95067,4926,91546,3284,1
4,10,15,R0C0,NA,35210,-6568,35210,6568,35210,6568,1
4,11,15,R0C1,92-41,38731,-6568,38731,6568,35210,6568,1
5,10,15,R1C0,92-30,35210,-8210,35210,8210,35210,6568,1
5,11,15,R1C1,92-31,38731,-8210,38731,8210,35210,6568,1
4,12,16,R0C0,92-42,42252,-6568,42252,6568,42252,6568,1
4,13,16,R0C1,92-43,45773,-6568,45773,6568,42252,6568,1
5,12,16,R1C0,92-32,42252,-8210,42252,8210,42252,6568,1
5,13,16,R1C1,92-33,45773,-8210,45773,8210,42252,6568,1
4,14,17,R0C0,92-44,49294,-6568,49294,6568,49294,6568,1
4,15,17,R0C1,93-40,52815,-6568,52815,6568,49294,6568,1
5,14,17,R1C0,92-34,49294,-8210,49294,8210,49294,6568,1
5,15,17,R1C1,93-30,52815,-8210,52815,8210,49294,6568,1
4,16,18,R0C0,93-41,56336,-6568,56336,6568,56336,6568,1
4,17,18,R0C1,93-42,59857,-6568,59857,6568,56336,6568,1
5,16,18,R1C0,93-31,56336,-8210,56336,8210,56336,6568,1
5,17,18,R1C1,93-32,59857,-8210,59857,8210,56336,6568,1
4,18,19,R0C0,93-43,63378,-6568,63378,6568,63378,6568,1
4,19,19,R0C1,93-44,66899,-6568,66899,6568,63378,6568,1
