row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,15,1,,A3-01,52815,0,52815,0,52815,0,1
0,16,2,,A3-02,56336,0,56336,0,56336,0,1
0,17,3,,A3-03,59857,0,59857,0,59857,0,1
0,18,4,,A3-04,63378,0,63378,0,63378,0,1
0,19,5,,A4-00,66899,0,66899,0,66899,0,1
0,20,6,,A4-01,70420,0,70420,0,70420,0,1
0,21,7,,A4-02,73941,0,73941,0,73941,0,1
0,22,8,,A4-03,77462,0,77462,0,77462,0,1
1,13,9,,92-74,45773,-1642,45773,1642,45773,1642,1
1,14,10,,93-70,49294,-1642,49294,1642,49294,1642,1
1,15,11,,93-71,52815,-1642,52815,1642,52815,1642,1
1,16,12,,93-72,56336,-1642,56336,1642,56336,1642,1
1,17,13,,93-73,59857,-1642,59857,1642,59857,1642,1
1,18,14,,93-74,63378,-1642,63378,1642,63378,1642,1
1,19,15,,94-70,66899,-1642,66899,1642,66899,1642,1
1,20,16,,94-71,70420,-1642,70420,1642,70420,1642,1
1,21,17,,94-72,73941,-1642,73941,1642,73941,1642,1
1,22,18,,94-73,77462,-1642,77462,1642,77462,1642,1
1,23,19,,94-74,80983,-1642,80983,1642,80983,1642,1
1,24,20,,95-70,84504,-1642,84504,1642,84504,1642,1
2,12,21,,92-63,42252,-3284,42252,3284,42252,3284,1
2,13,22,,92-64,45773,-3284,45773,3284,45773,3284,1
2,14,23,,93-60,49294,-3284,49294,3284,49294,3284,1
2,15,24,,93-61,52815,-3284,52815,3284,52815,3284,1
2,16,25,,93-62,56336,-3284,56336,3284,56336,3284,1
2,17,26,,93-63,59857,-3284,59857,3284,59857,3284,1
2,18,27,,93-64,63378,-3284,63378,3284,63378,3284,1
2,19,28,,94-60,66899,-3284,66899,3284,66899,3284,1
2,20,29,,94-61,70420,-3284,70420,3284,70420,3284,1
2,21,30,,94-62,73941,-3284,73941,3284,73941,3284,1
2,22,31,,94-63,77462,-3284,77462,3284,77462,3284,1
2,23,32,,94-64,80983,-3284,80983,3284,80983,3284,1
2,24,33,,95-60,84504,-3284,84504,3284,84504,3284,1
2,25,34,,95-61,88025,-3284,88025,3284,88025,3284,1
3,11,35,,92-52,38731,-4926,38731,4926,38731,4926,1
3,12,36,,92-53,42252,-4926,42252,4926,42252,4926,1
3,13,37,,92-54,45773,-4926,45773,4926,45773,4926,1
3,14,38,,93-50,49294,-4926,49294,4926,49294,4926,1
3,15,39,,93-51,52815,-4926,52815,4926,52815,4926,1
3,16,40,,93-52,56336,-4926,56336,4926,56336,4926,1
3,17,41,,93-53,59857,-4926,59857,4926,59857,4926,1
3,18,42,,93-54,63378,-4926,63378,4926,63378,4926,1
3,19,43,,94-50,66899,-4926,66899,4926,66899,4926,1
3,20,44,,94-51,70420,-4926,70420,4926,70420,4926,1
3,21,45,,94-52,73941,-4926,73941,4926,73941,4926,1
3,22,46,,94-53,77462,-4926,77462,4926,77462,4926,1
3,23,47,,94-54,80983,-4926,80983,4926,80983,4926,1
3,24,48,,95-50,84504,-4926,84504,4926,84504,4926,1
3,25,49,,95-51,88025,-4926,88025,4926,88025,4926,1
3,26,50,,95-52,91546,-4926,91546,4926,91546,4926,1
4,10,51,,92-41,35210,-6568,35210,6568,35210,6568,1
4,11,52,,92-42,38731,-6568,38731,6568,38731,6568,1
4,12,53,,92-43,42252,-6568,42252,6568,42252,6568,1
4,13,54,,92-44,45773,-6568,45773,6568,45773,6568,1
4,14,55,,93-40,49294,-6568,49294,6568,49294,6568,1
4,15,56,,93-41,52815,-6568,52815,6568,52815,6568,1
4,16,57,,93-42,56336,-6568,56336,6568,56336,6568,1
4,17,58,,93-43,59857,-6568,59857,6568,59857,6568,1
4,18,59,,93-44,63378,-6568,63378,6568,63378,6568,1
4,19,60,,94-40,66899,-6568,66899,6568,66899,6568,1
4,20,61,,94-41,70420,-6568,70420,6568,70420,6568,1
4,21,62,,94-42,73941,-6568,73941,6568,73941,6568,1
4,22,63,,94-43,77462,-6568,77462,6568,77462,6568,1
4,23,64,,94-44,80983,-6568,80983,6568,80983,6568,1
4,24,65,,95-40,84504,-6568,84504,6568,84504,6568,1
4,25,66,,95-41,88025,-6568,88025,6568,88025,6568,1
4,26,67,,95-42,91546,-6568,91546,6568,91546,6568,1
4,27,68,,95-43,95067,-6568,95067,6568,95067,6568,1
5,9,69,,92-30,31689,-8210,31689,8210,31689,8210,1
5,10,70,,92-31,35210,-8210,35210,8210,35210,8210,1
5,11,71,,92-32,38731,-8210,38731,8210,38731,8210,1
5,12,72,,92-33,42252,-8210,42252,8210,42252,8210,1
5,13,73,,92-34,45773,-8210,45773,8210,45773,8210,1
5,14,74,,93-30,49294,-8210,49294,8210,49294,8210,1
5,15,75,,93-31,52815,-8210,52815,8210,52815,8210,1
5,16,76,,93-32,56336,-8210,56336,8210,56336,8210,1
5,17,77,,93-33,59857,-8210,59857,8210,59857,8210,1
5,18,78,,93-34,63378,-8210,63378,8210,63378,8210,1
5,19,79,,94-30,66899,-8210,66899,8210,66899,8210,1
5,20,80,,94-31,70420,-8210,70420,8210,70420,8210,1
5,21,81,,94-32,73941,-8210,73941,8210,73941,8210,1
5,22,82,,94-33,77462,-8210,77462,8210,77462,8210,1
5,23,83,,94-34,80983,-8210,80983,8210,80983,8210,1
5,24,84,,95-30,84504,-8210,84504,8210,84504,8210,1
5,25,85,,95-31,88025,-8210,88025,8210,88025,8210,1
5,26,86,,95-32,91546,-8210,91546,8210,91546,8210,1
5,27,87,,95-33,95067,-8210,95067,8210,95067,8210,1
5,28,88,,95-34,98588,-8210,98588,8210,98588,8210,1
6,9,89,,92-20,31689,-9852,31689,9852,31689,9852,1
6,10,90,,92-21,35210,-9852,35210,9852,35210,9852,1
6,11,91,,92-22,38731,-9852,38731,9852,38731,9852,1
6,12,92,,92-23,42252,-9852,42252,9852,42252,9852,1
6,13,93,,92-24,45773,-9852,45773,9852,45773,9852,1
6,14,94,,93-20,49294,-9852,49294,9852,49294,9852,1
6,15,95,,93-21,52815,-9852,52815,9852,52815,9852,1
6,16,96,,93-22,56336,-9852,56336,9852,56336,9852,1
6,17,97,,93-23,59857,-9852,59857,9852,59857,9852,1
6,18,98,,93-24,63378,-9852,63378,9852,63378,9852,1
6,19,99,,94-20,66899,-9852,66899,9852,66899,9852,1
6,20,100,,94-21,70420,-9852,70420,9852,70420,9852,1
6,21,101,,94-22,73941,-9852,73941,9852,73941,9852,1
6,22,102,,94-23,77462,-9852,77462,9852,77462,9852,1
6,23,103,,94-24,80983,-9852,80983,9852,80983,9852,1
6,24,104,,95-20,84504,-9852,84504,9852,84504,9852,1
6,25,105,,95-21,88025,-9852,88025,9852,88025,9852,1
6,26,106,,95-22,91546,-9852,91546,9852,91546,9852,1
6,27,107,,95-23,95067,-9852,95067,9852,95067,9852,1
6,28,108,,95-24,98588,-9852,98588,9852,98588,9852,1
7,8,109,,91-14,28168,-11494,28168,11494,28168,11494,1
7,9,110,,92-10,31689,-11494,31689,11494,31689,11494,1
7,10,111,,92-11,35210,-11494,35210,11494,35210,11494,1
7,11,112,,92-12,38731,-11494,38731,11494,38731,11494,1
7,12,113,,92-13,42252,-11494,42252,11494,42252,11494,1
7,13,114,,92-14,45773,-11494,45773,11494,45773,11494,1
7,14,115,,93-10,49294,-11494,49294,11494,49294,11494,1
7,15,116,,93-11,52815,-11494,52815,11494,52815,11494,1
7,16,117,,93-12,56336,-11494,56336,11494,56336,11494,1
7,17,118,,93-13,59857,-11494,59857,11494,59857,11494,1
7,18,119,,93-14,63378,-11494,63378,11494,63378,11494,1
7,19,120,,94-10,66899,-11494,66899,11494,66899,11494,1
7,20,121,,94-11,70420,-11494,70420,11494,70420,11494,1
7,21,122,,94-12,73941,-11494,73941,11494,73941,11494,1
7,22,123,,94-13,77462,-11494,77462,11494,77462,11494,1
7,23,124,,94-14,80983,-11494,80983,11494,80983,11494,1
7,24,125,,95-10,84504,-11494,84504,11494,84504,11494,1
7,25,126,,95-11,88025,-11494,88025,11494,88025,11494,1
7,26,127,,95-12,91546,-11494,91546,11494,91546,11494,1
7,27,128,,95-13,95067,-11494,95067,11494,95067,11494,1
7,28,129,,95-14,98588,-11494,98588,11494,98588,11494,1
7,29,130,,96-10,102109,-11494,102109,11494,102109,11494,1
8,7,131,,91-03,24647,-13136,24647,13136,24647,13136,1
8,8,132,,91-04,28168,-13136,28168,13136,28168,13136,1
8,9,133,,92-00,31689,-13136,31689,13136,31689,13136,1
8,10,134,,92-01,35210,-13136,35210,13136,35210,13136,1
8,11,135,,92-02,38731,-13136,38731,13136,38731,13136,1
8,12,136,,92-03,42252,-13136,42252,13136,42252,13136,1
8,13,137,,92-04,45773,-13136,45773,13136,45773,13136,1
8,14,138,,93-00,49294,-13136,49294,13136,49294,13136,1
8,15,139,,93-01,52815,-13136,52815,13136,52815,13136,1
8,16,140,,93-02,56336,-13136,56336,13136,56336,13136,1
8,17,141,,93-03,59857,-13136,59857,13136,59857,13136,1
8,18,142,,93-04,63378,-13136,63378,13136,63378,13136,1
8,19,143,,94-00,66899,-13136,66899,13136,66899,13136,1
8,20,144,,94-01,70420,-13136,70420,13136,70420,13136,1
8,21,145,,94-02,73941,-13136,73941,13136,73941,13136,1
8,22,146,,94-03,77462,-13136,77462,13136,77462,13136,1
8,23,147,,94-04,80983,-13136,80983,13136,80983,13136,1
8,24,148,,95-00,84504,-13136,84504,13136,84504,13136,1
8,25,149,,95-01,88025,-13136,88025,13136,88025,13136,1
8,26,150,,95-02,91546,-13136,91546,13136,91546,13136,1
8,27,151,,95-03,95067,-13136,95067,13136,95067,13136,1
8,28,152,,95-04,98588,-13136,98588,13136,98588,13136,1
8,29,153,,96-00,102109,-13136,102109,13136,102109,13136,1
8,30,154,,96-01,105630,-13136,105630,13136,105630,13136,1
9,7,155,,81-73,24647,-14778,24647,14778,24647,14778,1
9,8,156,,81-74,28168,-14778,28168,14778,28168,14778,1
9,9,157,,82-70,31689,-14778,31689,14778,31689,14778,1
9,10,158,,82-71,35210,-14778,35210,14778,35210,14778,1
9,11,159,,82-72,38731,-14778,38731,14778,38731,14778,1
9,12,160,,82-73,42252,-14778,42252,14778,42252,14778,1
9,13,161,,82-74,45773,-14778,45773,14778,45773,14778,1
9,14,162,,83-70,49294,-14778,49294,14778,49294,14778,1
9,15,163,,83-71,52815,-14778,52815,14778,52815,14778,1
