recipe_name,die_size_x,die_size_y,x_move_first,y_move_first,align_die,shot_rows,shot_cols,row,col,x_um,y_um,included,die1,die2,die3,die4
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,15,52815.0,0.0,1,A3-01,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,16,56336.0,0.0,1,A3-02,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,17,59857.0,0.0,1,A3-03,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,18,63378.0,0.0,1,A3-04,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,19,66899.0,0.0,1,A4-00,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,20,70420.0,0.0,1,A4-01,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,21,73941.0,0.0,1,A4-02,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,0,22,77462.0,0.0,1,A4-03,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,13,45773.0,1642.0,1,92-74,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,14,49294.0,1642.0,1,93-70,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,15,52815.0,1642.0,1,93-71,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,16,56336.0,1642.0,1,93-72,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,17,59857.0,1642.0,1,93-73,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,18,63378.0,1642.0,1,93-74,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,19,66899.0,1642.0,1,94-70,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,20,70420.0,1642.0,1,94-71,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,21,73941.0,1642.0,1,94-72,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,22,77462.0,1642.0,1,94-73,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,23,80983.0,1642.0,1,94-74,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,1,24,84504.0,1642.0,1,95-70,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,12,42252.0,3284.0,1,92-63,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,13,45773.0,3284.0,1,92-64,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,14,49294.0,3284.0,1,93-60,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,15,52815.0,3284.0,1,93-61,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,16,56336.0,3284.0,0,93-62,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,17,59857.0,3284.0,1,93-63,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,18,63378.0,3284.0,1,93-64,,,
HP LaMP whole wafer,3521,1642,-66899,-65680,54-00,,,2,19,66899.0,3284.0,1,94-60,,,
