recipe_name,die_size_x,die_size_y,x_move_first,y_move_first,align_die,shot_rows,shot_cols,row,col,x_um,y_um,included,die1,die2,die3,die4
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,0,21,61270.0,3170.0,1,B4-13,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,0,22,64055.0,3170.0,1,B4-14,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,0,23,66840.0,3170.0,1,B4-15,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,0,24,69625.0,3170.0,1,B5-10,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,0,25,72410.0,3170.0,1,B5-11,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,0,26,75195.0,3170.0,1,B5-12,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,29,83550.0,4755.0,1,B5-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,28,80765.0,4755.0,1,B5-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,27,77980.0,4755.0,1,B5-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,26,75195.0,4755.0,1,B5-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,25,72410.0,4755.0,1,B5-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,24,69625.0,4755.0,1,B5-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,23,66840.0,4755.0,1,B4-05,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,22,64055.0,4755.0,1,B4-04,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,21,61270.0,4755.0,1,B4-03,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,20,58485.0,4755.0,1,B4-02,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,19,55700.0,4755.0,1,B4-01,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,1,18,52915.0,4755.0,1,B4-00,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,15,44560.0,6340.0,1,A3-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,16,47345.0,6340.0,1,A3-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,17,50130.0,6340.0,1,A3-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,18,52915.0,6340.0,1,A4-70,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,19,55700.0,6340.0,1,A4-71,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,20,58485.0,6340.0,1,A4-72,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,21,61270.0,6340.0,1,A4-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,22,64055.0,6340.0,1,A4-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,23,66840.0,6340.0,1,A4-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,24,69625.0,6340.0,1,A5-70,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,25,72410.0,6340.0,1,A5-71,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,26,75195.0,6340.0,1,A5-72,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,27,77980.0,6340.0,1,A5-73,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,28,80765.0,6340.0,1,A5-74,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,29,83550.0,6340.0,1,A5-75,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,2,30,86335.0,6340.0,1,A6-70,,,
