row,col,label
-40,-6,NA
-40,-5,NA
-40,-4,A3-01
-40,-3,A3-02
-40,-2,A3-03
-40,-1,A3-04
-40,0,A4-00
-40,1,A4-01
-40,2,A4-02
-40,3,A4-03
-40,4,NA
-40,5,NA
-39,-6,92-74
-39,-5,93-70
-39,-4,93-71
-39,-3,93-72
-39,-2,93-73
-39,-1,93-74
-39,0,94-70
-39,1,94-71
-39,2,94-72
-39,3,94-73
-39,4,94-74
-39,5,95-70
-38,-8,NA
-38,-7,92-63
-38,-6,92-64
-38,-5,93-60
-38,-4,93-61
-38,-3,PCM
-38,-2,93-63
-38,-1,93-64
-38,0,94-60
-38,1,94-61
-38,2,94-62
-38,3,94-63
-38,4,94-64
-38,5,95-60
-38,6,95-61
-38,7,NA
-37,-8,92-52
-37,-7,92-53
-37,-6,92-54
-37,-5,93-50
-37,-4,93-51
-37,-3,93-52
-37,-2,93-53
-37,-1,93-54
-37,0,94-50
-37,1,94-51
-37,2,94-52
-37,3,94-53
-37,4,94-54
-37,5,95-50
-37,6,95-51
-37,7,95-52
-36,-10,NA
-36,-9,92-41
-36,-8,92-42
-36,-7,92-43
-36,-6,92-44
-36,-5,93-40
-36,-4,93-41
-36,-3,93-42
-36,-2,93-43
-36,-1,93-44
-36,0,94-40
-36,1,94-41
-36,2,94-42
-36,3,94-43
-36,4,94-44
-36,5,95-40
-36,6,95-41
-36,7,95-42
-36,8,95-43
-36,9,NA
-35,-10,92-30
-35,-9,92-31
-35,-8,92-32
-35,-7,92-33
-35,-6,92-34
-35,-5,93-30
-35,-4,93-31
-35,-3,93-32
-35,-2,93-33
-35,-1,93-34
-35,0,94-30
-35,1,94-31
-35,2,94-32
-35,3,94-33
-35,4,94-34
-35,5,95-30
-35,6,95-31
-35,7,95-32
-35,8,95-33
-35,9,95-34
-34,-12,NA
-34,-11,NA
-34,-10,92-20
-34,-9,92-21
-34,-8,92-22
-34,-7,92-23
-34,-6,92-24
-34,-5,93-20
-34,-4,93-21
-34,-3,93-22
-34,-2,93-23
-34,-1,93-24
-34,0,94-20
-34,1,94-21
-34,2,94-22
-34,3,94-23
-34,4,94-24
-34,5,95-20
-34,6,95-21
-34,7,95-22
-34,8,95-23
-34,9,95-24
-34,10,NA
-34,11,NA
-33,-12,NA
-33,-11,91-14
-33,-10,92-10
-33,-9,92-11
-33,-8,92-12
-33,-7,92-13
-33,-6,92-14
-33,-5,93-10
-33,-4,93-11
-33,-3,93-12
-33,-2,93-13
-33,-1,93-14
-33,0,94-10
-33,1,94-11
-33,2,94-12
-33,3,94-13
-33,4,94-14
-33,5,95-10
-33,6,95-11
-33,7,95-12
-33,8,95-13
-33,9,95-14
-33,10,96-10
-33,11,NA
-32,-12,91-03
-32,-11,91-04
-32,-10,92-00
-32,-9,92-01
-32,-8,92-02
-32,-7,92-03
-32,-6,92-04
-32,-5,93-00
-32,-4,93-01
-32,-3,93-02
-32,-2,93-03
-32,-1,93-04
-32,0,94-00
-32,1,94-01
-32,2,94-02
-32,3,94-03
-32,4,94-04
-32,5,95-00
-32,6,95-01
-32,7,95-02
-32,8,95-03
-32,9,95-04
-32,10,96-00
-32,11,96-01
-31,-12,81-73
-31,-11,81-74
-31,-10,82-70
-31,-9,82-71
-31,-8,82-72
-31,-7,82-73
-31,-6,82-74
-31,-5,83-70
-31,-4,83-71
-31,-3,83-72
-31,-2,83-73
-31,-1,83-74
-31,0,84-70
-31,1,84-71
-31,2,84-72
-31,3,84-73
-31,4,84-74
-31,5,85-70
-31,6,85-71
-31,7,85-72
-31,8,85-73
-31,9,85-74
-31,10,86-70
-31,11,86-71
-30,-14,NA
-30,-13,81-62
-30,-12,81-63
-30,-11,81-64
-30,-10,82-60
-30,-9,82-61
-30,-8,82-62
-30,-7,82-63
-30,-6,82-64
-30,-5,83-60
-30,-4,83-61
-30,-3,83-62
-30,-2,83-63
-30,-1,83-64
-30,0,84-60
-30,1,84-61
-30,2,84-62
-30,3,84-63
-30,4,84-64
-30,5,85-60
-30,6,85-61
-30,7,85-62
-30,8,85-63
-30,9,85-64
-30,10,86-60
-30,11,86-61
-30,12,86-62
-30,13,NA
-29,-14,NA
-29,-13,81-52
-29,-12,81-53
-29,-11,81-54
-29,-10,82-50
-29,-9,82-51
-29,-8,82-52
-29,-7,82-53
-29,-6,82-54
-29,-5,83-50
-29,-4,83-51
-29,-3,83-52
-29,-2,83-53
-29,-1,83-54
-29,0,84-50
-29,1,84-51
-29,2,84-52
-29,3,84-53
-29,4,84-54
-29,5,85-50
-29,6,85-51
-29,7,85-52
-29,8,85-53
-29,9,85-54
-29,10,86-50
-29,11,86-51
-29,12,86-52
-29,13,NA
-28,-14,81-41
-28,-13,81-42
-28,-12,81-43
-28,-11,81-44
-28,-10,82-40
-28,-9,82-41
-28,-8,82-42
-28,-7,82-43
-28,-6,82-44
-28,-5,83-40
-28,-4,83-41
-28,-3,83-42
-28,-2,83-43
-28,-1,83-44
-28,0,84-40
-28,1,84-41
-28,2,84-42
-28,3,84-43
-28,4,84-44
-28,5,85-40
-28,6,85-41
-28,7,85-42
-28,8,85-43
-28,9,85-44
-28,10,86-40
-28,11,86-41
-28,12,86-42
-28,13,86-43
-27,-14,81-31
-27,-13,81-32
-27,-12,81-33
-27,-11,81-34
-27,-10,82-30
-27,-9,82-31
-27,-8,82-32
-27,-7,82-33
-27,-6,82-34
-27,-5,83-30
-27,-4,83-31
-27,-3,83-32
-27,-2,83-33
-27,-1,83-34
-27,0,84-30
-27,1,84-31
-27,2,84-32
-27,3,84-33
-27,4,84-34
-27,5,85-30
-27,6,85-31
-27,7,85-32
-27,8,85-33
-27,9,85-34
-27,10,86-30
