kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
RECIPE,Lamp 21PCM,,,,,Probe03New,,,,,#1186 PCM,lamppcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEP,Lamp 21PCM,,,,1,,,,,,,,,,touchdown,delay,,,,,,,50.000,,,,,,,,,,,,,,,,switch,,
STEP,Lamp 21PCM,,,,2,,,,,,,,,,ohmf,ohmf,measure,DMM,,,,,,,,,,,,1,0,1,,,0,,,1,direct,dmm,
STEP,Lamp 21PCM,,,,3,,,,,,,,,,settle,delay,,,,,,,50.000,,,,,,,,,,,,,,,,switch,,
STEP,Lamp 21PCM,,,,4,,,,,,,,,,check,passfail,,,,,,,,,,,,0,1000,,,,,,,,,1,switch,,
STEP,Lamp 21PCM,,,,5,,,,,,,,,,settle,delay,,,,,,,50.000,,,,,,,,,,,,,,,,switch,,
SITE,Lamp 21PCM,,,,1,,,,,,,,,,PCM,,,,,,2,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,2,,,,,,,,,,PCM,,,,,,14,7,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,3,,,,,,,,,,PCM,,,,,,14,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,4,,,,,,,,,,PCM,,,,,,14,27,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,5,,,,,,,,,,PCM,,,,,,26,7,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,6,,,,,,,,,,PCM,,,,,,26,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,7,,,,,,,,,,PCM,,,,,,26,27,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,8,,,,,,,,,,PCM,,,,,,26,37,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,9,,,,,,,,,,PCM,,,,,,38,7,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,10,,,,,,,,,,PCM,,,,,,38,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,11,,,,,,,,,,PCM,,,,,,38,27,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,12,,,,,,,,,,PCM,,,,,,38,37,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,13,,,,,,,,,,PCM,,,,,,50,7,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,14,,,,,,,,,,PCM,,,,,,50,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,15,,,,,,,,,,PCM,,,,,,50,27,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,16,,,,,,,,,,PCM,,,,,,50,37,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,17,,,,,,,,,,PCM,,,,,,62,7,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,18,,,,,,,,,,PCM,,,,,,62,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,19,,,,,,,,,,PCM,,,,,,62,27,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,20,,,,,,,,,,PCM,,,,,,74,17,,,,,,,,,,,,,,,,,,,
SITE,Lamp 21PCM,,,,21,,,,,,,,,,PCM,,,,,,74,27,,,,,,,,,,,,,,,,,,,
