kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
PIN,,A9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,A36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,B36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
