step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
1,G,1,B4-13,61270,3170,0,0
2,J,2,B4-14,64055,3170,0,0
3,J,3,B4-15,66840,3170,0,0
4,J,4,B5-10,69625,3170,0,0
5,J,5,B5-11,72410,3170,0,0
6,J,6,B5-12,75195,3170,0,0
7,J,7,B5-05,83550,4755,0,0
8,J,8,B5-04,80765,4755,0,0
9,J,9,B5-03,77980,4755,0,0
10,J,10,B5-02,75195,4755,0,0
11,J,11,B5-01,72410,4755,0,0
12,J,12,B5-00,69625,4755,0,0
13,J,13,B4-05,66840,4755,0,0
14,J,14,B4-04,64055,4755,0,0
15,J,15,B4-03,61270,4755,0,0
16,J,16,B4-02,58485,4755,0,0
17,J,17,B4-01,55700,4755,0,0
18,J,18,B4-00,52915,4755,0,0
19,J,19,A3-73,44560,6340,0,0
20,J,20,A3-74,47345,6340,0,0
21,J,21,A3-75,50130,6340,0,0
22,J,22,A4-70,52915,6340,0,0
23,J,23,A4-71,55700,6340,0,0
24,J,24,A4-72,58485,6340,0,0
25,J,25,A4-73,61270,6340,0,0
26,J,26,A4-74,64055,6340,0,0
27,J,27,A4-75,66840,6340,0,0
28,J,28,A5-70,69625,6340,0,0
29,J,29,A5-71,72410,6340,0,0
30,J,30,A5-72,75195,6340,0,0
31,J,31,A5-73,77980,6340,0,0
32,J,32,A5-74,80765,6340,0,0
33,J,33,A5-75,83550,6340,0,0
34,J,34,A6-70,86335,6340,0,0
35,J,35,A6-71,89120,6340,0,0
36,J,36,A6-72,91905,6340,0,0
37,J,37,A6-63,94690,7925,0,0
38,J,38,A6-62,91905,7925,0,0
39,J,39,A6-61,89120,7925,0,0
40,J,40,A6-60,86335,7925,0,0
41,J,41,A5-65,83550,7925,0,0
42,J,42,A5-64,80765,7925,0,0
43,J,43,A5-63,77980,7925,0,0
44,J,44,A5-62,75195,7925,0,0
45,J,45,A5-61,72410,7925,0,0
46,J,46,A5-60,69625,7925,0,0
47,J,47,A4-65,66840,7925,0,0
48,J,48,A4-64,64055,7925,0,0
49,J,49,A4-63,61270,7925,0,0
50,J,50,A4-62,58485,7925,0,0
51,J,51,A4-61,55700,7925,0,0
52,J,52,A4-60,52915,7925,0,0
53,J,53,A3-65,50130,7925,0,0
54,J,54,A3-64,47345,7925,0,0
55,J,55,A3-63,44560,7925,0,0
56,J,56,A3-62,41775,7925,0,0
57,J,57,A3-52,41775,9510,0,0
58,J,58,A3-53,44560,9510,0,0
59,J,59,A3-54,47345,9510,0,0
60,J,60,A3-55,50130,9510,0,0
61,J,61,A4-50,52915,9510,0,0
62,J,62,A4-51,55700,9510,0,0
63,J,63,A4-52,58485,9510,0,0
64,J,64,A4-53,61270,9510,0,0
