row,col,x_die,y_die,raw_q
1,6,6,1,QY0001X0006
1,7,7,1,QY0001X0007
1,8,8,1,QY0001X0008
1,9,9,1,QY0001X0009
1,10,10,1,QY0001X0010
1,11,11,1,QY0001X0011
1,12,12,1,QY0001X0012
1,13,13,1,QY0001X0013
2,14,14,2,QY0002X0014
2,13,13,2,QY0002X0013
2,12,12,2,QY0002X0012
2,11,11,2,QY0002X0011
2,10,10,2,QY0002X0010
2,9,9,2,QY0002X0009
2,8,8,2,QY0002X0008
2,7,7,2,QY0002X0007
2,6,6,2,QY0002X0006
2,5,5,2,QY0002X0005
3,4,4,3,QY0003X0004
3,5,5,3,QY0003X0005
3,6,6,3,QY0003X0006
3,7,7,3,QY0003X0007
3,8,8,3,QY0003X0008
3,9,9,3,QY0003X0009
3,10,10,3,QY0003X0010
3,11,11,3,QY0003X0011
3,12,12,3,QY0003X0012
3,13,13,3,QY0003X0013
3,14,14,3,QY0003X0014
3,15,15,3,QY0003X0015
4,16,16,4,QY0004X0016
4,15,15,4,QY0004X0015
4,14,14,4,QY0004X0014
4,13,13,4,QY0004X0013
4,12,12,4,QY0004X0012
4,11,11,4,QY0004X0011
4,10,10,4,QY0004X0010
4,9,9,4,QY0004X0009
4,8,8,4,QY0004X0008
4,7,7,4,QY0004X0007
4,6,6,4,QY0004X0006
4,5,5,4,QY0004X0005
4,4,4,4,QY0004X0004
4,3,3,4,QY0004X0003
5,3,3,5,QY0005X0003
5,4,4,5,QY0005X0004
5,5,5,5,QY0005X0005
5,6,6,5,QY0005X0006
5,7,7,5,QY0005X0007
5,8,8,5,QY0005X0008
5,9,9,5,QY0005X0009
5,10,10,5,QY0005X0010
5,11,11,5,QY0005X0011
5,12,12,5,QY0005X0012
5,13,13,5,QY0005X0013
5,14,14,5,QY0005X0014
5,15,15,5,QY0005X0015
5,16,16,5,QY0005X0016
6,17,17,6,QY0006X0017
6,16,16,6,QY0006X0016
6,15,15,6,QY0006X0015
6,14,14,6,QY0006X0014
6,13,13,6,QY0006X0013
6,12,12,6,QY0006X0012
6,11,11,6,QY0006X0011
6,10,10,6,QY0006X0010
6,9,9,6,QY0006X0009
6,8,8,6,QY0006X0008
6,7,7,6,QY0006X0007
6,6,6,6,QY0006X0006
6,5,5,6,QY0006X0005
6,4,4,6,QY0006X0004
6,3,3,6,QY0006X0003
6,2,2,6,QY0006X0002
7,2,2,7,QY0007X0002
7,3,3,7,QY0007X0003
7,4,4,7,QY0007X0004
7,5,5,7,QY0007X0005
7,6,6,7,QY0007X0006
7,7,7,7,QY0007X0007
7,8,8,7,QY0007X0008
7,9,9,7,QY0007X0009
7,10,10,7,QY0007X0010
7,11,11,7,QY0007X0011
7,12,12,7,QY0007X0012
7,13,13,7,QY0007X0013
7,14,14,7,QY0007X0014
7,15,15,7,QY0007X0015
7,16,16,7,QY0007X0016
7,17,17,7,QY0007X0017
8,18,18,8,QY0008X0018
8,17,17,8,QY0008X0017
8,16,16,8,QY0008X0016
8,15,15,8,QY0008X0015
8,14,14,8,QY0008X0014
8,13,13,8,QY0008X0013
8,12,12,8,QY0008X0012
8,11,11,8,QY0008X0011
8,10,10,8,QY0008X0010
8,9,9,8,QY0008X0009
8,8,8,8,QY0008X0008
8,7,7,8,QY0008X0007
8,6,6,8,QY0008X0006
8,5,5,8,QY0008X0005
8,4,4,8,QY0008X0004
8,3,3,8,QY0008X0003
8,2,2,8,QY0008X0002
8,1,1,8,QY0008X0001
9,1,1,9,QY0009X0001
9,2,2,9,QY0009X0002
9,3,3,9,QY0009X0003
9,4,4,9,QY0009X0004
9,5,5,9,QY0009X0005
9,6,6,9,QY0009X0006
9,7,7,9,QY0009X0007
9,8,8,9,QY0009X0008
9,9,9,9,QY0009X0009
9,10,10,9,QY0009X0010
9,11,11,9,QY0009X0011
9,12,12,9,QY0009X0012
9,13,13,9,QY0009X0013
9,14,14,9,QY0009X0014
9,15,15,9,QY0009X0015
9,16,16,9,QY0009X0016
9,17,17,9,QY0009X0017
