row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,6,1,R0C0,01G,6000,0,6000,0,6000,0,1
0,7,2,R0C0,01H,7000,0,7000,0,7000,0,1
0,8,3,R0C0,01I,8000,0,8000,0,8000,0,1
0,9,4,R0C0,01J,9000,0,9000,0,9000,0,1
0,10,5,R0C0,01K,10000,0,10000,0,10000,0,1
0,11,6,R0C0,01L,11000,0,11000,0,11000,0,1
1,5,7,R0C0,02F,5000,-1000,5000,1000,5000,1000,1
1,6,8,R0C0,02G,6000,-1000,6000,1000,6000,1000,1
1,7,9,R0C0,02H,7000,-1000,7000,1000,7000,1000,1
1,8,10,R0C0,02I,8000,-1000,8000,1000,8000,1000,1
1,9,11,R0C0,02J,9000,-1000,9000,1000,9000,1000,1
1,10,12,R0C0,02K,10000,-1000,10000,1000,10000,1000,1
1,11,13,R0C0,02L,11000,-1000,11000,1000,11000,1000,1
1,12,14,R0C0,02M,12000,-1000,12000,1000,12000,1000,1
2,4,15,R0C0,03E,4000,-2000,4000,2000,4000,2000,1
2,5,16,R0C0,03F,5000,-2000,5000,2000,5000,2000,1
2,6,17,R0C0,03G,6000,-2000,6000,2000,6000,2000,1
2,7,18,R0C0,03H,7000,-2000,7000,2000,7000,2000,1
2,8,19,R0C0,03I,8000,-2000,8000,2000,8000,2000,1
2,9,20,R0C0,03J,9000,-2000,9000,2000,9000,2000,1
2,10,21,R0C0,03K,10000,-2000,10000,2000,10000,2000,1
2,11,22,R0C0,03L,11000,-2000,11000,2000,11000,2000,1
2,12,23,R0C0,03M,12000,-2000,12000,2000,12000,2000,1
2,13,24,R0C0,03N,13000,-2000,13000,2000,13000,2000,1
3,3,25,R0C0,04D,3000,-3000,3000,3000,3000,3000,1
3,4,26,R0C0,04E,4000,-3000,4000,3000,4000,3000,1
3,5,27,R0C0,04F,5000,-3000,5000,3000,5000,3000,1
3,6,28,R0C0,04G,6000,-3000,6000,3000,6000,3000,1
3,7,29,R0C0,04H,7000,-3000,7000,3000,7000,3000,1
3,8,30,R0C0,04I,8000,-3000,8000,3000,8000,3000,1
3,9,31,R0C0,04J,9000,-3000,9000,3000,9000,3000,1
3,10,32,R0C0,04K,10000,-3000,10000,3000,10000,3000,1
3,11,33,R0C0,04L,11000,-3000,11000,3000,11000,3000,1
3,12,34,R0C0,04M,12000,-3000,12000,3000,12000,3000,1
3,13,35,R0C0,04N,13000,-3000,13000,3000,13000,3000,1
3,14,36,R0C0,04O,14000,-3000,14000,3000,14000,3000,1
4,2,37,R0C0,05C,2000,-4000,2000,4000,2000,4000,1
4,3,38,R0C0,05D,3000,-4000,3000,4000,3000,4000,1
4,4,39,R0C0,05E,4000,-4000,4000,4000,4000,4000,1
4,5,40,R0C0,05F,5000,-4000,5000,4000,5000,4000,1
4,6,41,R0C0,05G,6000,-4000,6000,4000,6000,4000,1
4,7,42,R0C0,05H,7000,-4000,7000,4000,7000,4000,1
4,8,43,R0C0,05I,8000,-4000,8000,4000,8000,4000,1
4,9,44,R0C0,05J,9000,-4000,9000,4000,9000,4000,1
4,10,45,R0C0,05K,10000,-4000,10000,4000,10000,4000,1
4,11,46,R0C0,05L,11000,-4000,11000,4000,11000,4000,1
4,12,47,R0C0,05M,12000,-4000,12000,4000,12000,4000,1
4,13,48,R0C0,05N,13000,-4000,13000,4000,13000,4000,1
4,14,49,R0C0,05O,14000,-4000,14000,4000,14000,4000,1
4,15,50,R0C0,05P,15000,-4000,15000,4000,15000,4000,1
5,2,51,R0C0,06C,2000,-5000,2000,5000,2000,5000,1
5,3,52,R0C0,06D,3000,-5000,3000,5000,3000,5000,1
5,4,53,R0C0,06E,4000,-5000,4000,5000,4000,5000,1
5,5,54,R0C0,06F,5000,-5000,5000,5000,5000,5000,1
5,6,55,R0C0,06G,6000,-5000,6000,5000,6000,5000,1
5,7,56,R0C0,06H,7000,-5000,7000,5000,7000,5000,1
5,8,57,R0C0,06I,8000,-5000,8000,5000,8000,5000,1
5,9,58,R0C0,06J,9000,-5000,9000,5000,9000,5000,1
5,10,59,R0C0,06K,10000,-5000,10000,5000,10000,5000,1
5,11,60,R0C0,06L,11000,-5000,11000,5000,11000,5000,1
5,12,61,R0C0,06M,12000,-5000,12000,5000,12000,5000,1
5,13,62,R0C0,06N,13000,-5000,13000,5000,13000,5000,1
5,14,63,R0C0,06O,14000,-5000,14000,5000,14000,5000,1
5,15,64,R0C0,06P,15000,-5000,15000,5000,15000,5000,1
6,1,65,R0C0,07B,1000,-6000,1000,6000,1000,6000,1
6,2,66,R0C0,07C,2000,-6000,2000,6000,2000,6000,1
6,3,67,R0C0,07D,3000,-6000,3000,6000,3000,6000,1
6,4,68,R0C0,07E,4000,-6000,4000,6000,4000,6000,1
6,5,69,R0C0,07F,5000,-6000,5000,6000,5000,6000,1
6,6,70,R0C0,07G,6000,-6000,6000,6000,6000,6000,1
6,7,71,R0C0,07H,7000,-6000,7000,6000,7000,6000,1
6,8,72,R0C0,07I,8000,-6000,8000,6000,8000,6000,1
6,9,73,R0C0,07J,9000,-6000,9000,6000,9000,6000,1
6,10,74,R0C0,07K,10000,-6000,10000,6000,10000,6000,1
6,11,75,R0C0,07L,11000,-6000,11000,6000,11000,6000,1
6,12,76,R0C0,07M,12000,-6000,12000,6000,12000,6000,1
6,13,77,R0C0,07N,13000,-6000,13000,6000,13000,6000,1
