row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,0,1,,01A,0,0,0,0,0,0,1
0,1,2,,01B,10208,0,10208,0,10208,0,1
0,2,3,,01C,20416,0,20416,0,20416,0,1
0,3,4,,01D,30624,0,30624,0,30624,0,1
0,4,5,,01E,40832,0,40832,0,40832,0,1
0,5,6,,01F,51040,0,51040,0,51040,0,1
0,6,7,,01G,61248,0,61248,0,61248,0,1
0,7,8,,01H,71456,0,71456,0,71456,0,1
0,8,9,,01I,81664,0,81664,0,81664,0,1
0,9,10,,01J,91872,0,91872,0,91872,0,1
0,10,11,,01K,102080,0,102080,0,102080,0,1
0,11,12,,01L,112288,0,112288,0,112288,0,1
0,12,13,,01M,122496,0,122496,0,122496,0,1
0,13,14,,01N,132704,0,132704,0,132704,0,1
0,14,15,,01O,142912,0,142912,0,142912,0,1
0,15,16,,01P,153120,0,153120,0,153120,0,1
1,0,17,,02A,0,-7694,0,7694,0,7694,1
1,1,18,,02B,10208,-7694,10208,7694,10208,7694,1
1,2,19,,02C,20416,-7694,20416,7694,20416,7694,1
1,3,20,,02D,30624,-7694,30624,7694,30624,7694,1
1,4,21,,02E,40832,-7694,40832,7694,40832,7694,1
1,5,22,,02F,51040,-7694,51040,7694,51040,7694,1
1,6,23,,02G,61248,-7694,61248,7694,61248,7694,1
1,7,24,,02H,71456,-7694,71456,7694,71456,7694,1
1,8,25,,02I,81664,-7694,81664,7694,81664,7694,1
1,9,26,,02J,91872,-7694,91872,7694,91872,7694,1
1,10,27,,02K,102080,-7694,102080,7694,102080,7694,1
1,11,28,,02L,112288,-7694,112288,7694,112288,7694,1
1,12,29,,02M,122496,-7694,122496,7694,122496,7694,1
1,13,30,,02N,132704,-7694,132704,7694,132704,7694,1
1,14,31,,02O,142912,-7694,142912,7694,142912,7694,1
1,15,32,,02P,153120,-7694,153120,7694,153120,7694,1
2,0,33,,03A,0,-15388,0,15388,0,15388,1
2,1,34,,03B,10208,-15388,10208,15388,10208,15388,1
2,2,35,,03C,20416,-15388,20416,15388,20416,15388,1
2,3,36,,03D,30624,-15388,30624,15388,30624,15388,1
2,4,37,,03E,40832,-15388,40832,15388,40832,15388,1
2,5,38,,03F,51040,-15388,51040,15388,51040,15388,1
2,6,39,,03G,61248,-15388,61248,15388,61248,15388,1
2,7,40,,03H,71456,-15388,71456,15388,71456,15388,1
2,8,41,,03I,81664,-15388,81664,15388,81664,15388,1
2,9,42,,03J,91872,-15388,91872,15388,91872,15388,1
2,10,43,,03K,102080,-15388,102080,15388,102080,15388,1
2,11,44,,03L,112288,-15388,112288,15388,112288,15388,1
2,12,45,,03M,122496,-15388,122496,15388,122496,15388,1
2,13,46,,03N,132704,-15388,132704,15388,132704,15388,1
2,14,47,,03O,142912,-15388,142912,15388,142912,15388,1
2,15,48,,03P,153120,-15388,153120,15388,153120,15388,1
3,0,49,,04A,0,-23082,0,23082,0,23082,1
3,1,50,,04B,10208,-23082,10208,23082,10208,23082,1
3,2,51,,04C,20416,-23082,20416,23082,20416,23082,1
3,3,52,,04D,30624,-23082,30624,23082,30624,23082,1
3,4,53,,04E,40832,-23082,40832,23082,40832,23082,1
3,5,54,,04F,51040,-23082,51040,23082,51040,23082,1
3,6,55,,04G,61248,-23082,61248,23082,61248,23082,1
3,7,56,,04H,71456,-23082,71456,23082,71456,23082,1
3,8,57,,04I,81664,-23082,81664,23082,81664,23082,1
3,9,58,,04J,91872,-23082,91872,23082,91872,23082,1
3,10,59,,04K,102080,-23082,102080,23082,102080,23082,1
3,11,60,,04L,112288,-23082,112288,23082,112288,23082,1
3,12,61,,04M,122496,-23082,122496,23082,122496,23082,1
3,13,62,,04N,132704,-23082,132704,23082,132704,23082,1
3,14,63,,04O,142912,-23082,142912,23082,142912,23082,1
3,15,64,,04P,153120,-23082,153120,23082,153120,23082,1
4,0,65,,05A,0,-30776,0,30776,0,30776,1
4,1,66,,05B,10208,-30776,10208,30776,10208,30776,1
4,2,67,,05C,20416,-30776,20416,30776,20416,30776,1
4,3,68,,05D,30624,-30776,30624,30776,30624,30776,1
4,4,69,,05E,40832,-30776,40832,30776,40832,30776,1
4,5,70,,05F,51040,-30776,51040,30776,51040,30776,1
4,6,71,,05G,61248,-30776,61248,30776,61248,30776,1
4,7,72,,05H,71456,-30776,71456,30776,71456,30776,1
4,8,73,,05I,81664,-30776,81664,30776,81664,30776,1
4,9,74,,05J,91872,-30776,91872,30776,91872,30776,1
4,10,75,,05K,102080,-30776,102080,30776,102080,30776,1
4,11,76,,05L,112288,-30776,112288,30776,112288,30776,1
4,12,77,,05M,122496,-30776,122496,30776,122496,30776,1
4,13,78,,05N,132704,-30776,132704,30776,132704,30776,1
4,14,79,,05O,142912,-30776,142912,30776,142912,30776,1
4,15,80,,05P,153120,-30776,153120,30776,153120,30776,1
5,0,81,,06A,0,-38470,0,38470,0,38470,1
5,1,82,,06B,10208,-38470,10208,38470,10208,38470,1
5,2,83,,06C,20416,-38470,20416,38470,20416,38470,1
5,3,84,,06D,30624,-38470,30624,38470,30624,38470,1
5,4,85,,06E,40832,-38470,40832,38470,40832,38470,1
5,5,86,,06F,51040,-38470,51040,38470,51040,38470,1
5,6,87,,06G,61248,-38470,61248,38470,61248,38470,1
5,7,88,,06H,71456,-38470,71456,38470,71456,38470,1
5,8,89,,06I,81664,-38470,81664,38470,81664,38470,1
5,9,90,,06J,91872,-38470,91872,38470,91872,38470,1
5,10,91,,06K,102080,-38470,102080,38470,102080,38470,1
5,11,92,,06L,112288,-38470,112288,38470,112288,38470,1
5,12,93,,06M,122496,-38470,122496,38470,122496,38470,1
5,13,94,,06N,132704,-38470,132704,38470,132704,38470,1
