recipe_name,die_size_x,die_size_y,x_move_first,y_move_first,align_die,shot_rows,shot_cols,row,col,x_um,y_um,included,die1,die2,die3,die4
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,15,52815.0,0.0,1,A3-01,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,16,56336.0,0.0,1,A3-02,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,17,59857.0,0.0,1,A3-03,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,18,63378.0,0.0,1,A3-04,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,19,66899.0,0.0,1,A4-00,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,20,70420.0,0.0,1,A4-01,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,21,73941.0,0.0,1,A4-02,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,0,22,77462.0,0.0,1,A4-03,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,13,45773.0,1642.0,1,92-74,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,14,49294.0,1642.0,1,93-70,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,15,52815.0,1642.0,1,93-71,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,16,56336.0,1642.0,1,93-72,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,17,59857.0,1642.0,1,93-73,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,18,63378.0,1642.0,1,93-74,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,19,66899.0,1642.0,1,94-70,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,20,70420.0,1642.0,1,94-71,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,21,73941.0,1642.0,1,94-72,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,22,77462.0,1642.0,1,94-73,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,23,80983.0,1642.0,1,94-74,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,1,24,84504.0,1642.0,1,95-70,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,12,42252.0,3284.0,1,92-63,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,13,45773.0,3284.0,1,92-64,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,14,49294.0,3284.0,1,93-60,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,15,52815.0,3284.0,1,93-61,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,16,56336.0,3284.0,1,93-62,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,17,59857.0,3284.0,1,93-63,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,18,63378.0,3284.0,1,93-64,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,19,66899.0,3284.0,1,94-60,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,20,70420.0,3284.0,1,94-61,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,21,73941.0,3284.0,1,94-62,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,22,77462.0,3284.0,1,94-63,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,23,80983.0,3284.0,1,94-64,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,24,84504.0,3284.0,1,95-60,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,2,25,88025.0,3284.0,1,95-61,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,11,38731.0,4926.0,1,92-52,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,12,42252.0,4926.0,1,92-53,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,13,45773.0,4926.0,1,92-54,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,14,49294.0,4926.0,1,93-50,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,15,52815.0,4926.0,1,93-51,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,16,56336.0,4926.0,1,93-52,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,17,59857.0,4926.0,1,93-53,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,18,63378.0,4926.0,1,93-54,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,19,66899.0,4926.0,1,94-50,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,20,70420.0,4926.0,1,94-51,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,21,73941.0,4926.0,1,94-52,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,22,77462.0,4926.0,1,94-53,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,23,80983.0,4926.0,1,94-54,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,24,84504.0,4926.0,1,95-50,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,25,88025.0,4926.0,1,95-51,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,3,26,91546.0,4926.0,1,95-52,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,10,35210.0,6568.0,1,92-41,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,11,38731.0,6568.0,1,92-42,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,12,42252.0,6568.0,1,92-43,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,13,45773.0,6568.0,1,92-44,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,14,49294.0,6568.0,1,93-40,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,15,52815.0,6568.0,1,93-41,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,16,56336.0,6568.0,1,93-42,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,17,59857.0,6568.0,1,93-43,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,18,63378.0,6568.0,1,93-44,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,19,66899.0,6568.0,1,94-40,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,20,70420.0,6568.0,1,94-41,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,21,73941.0,6568.0,1,94-42,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,22,77462.0,6568.0,1,94-43,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,23,80983.0,6568.0,1,94-44,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,24,84504.0,6568.0,1,95-40,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,25,88025.0,6568.0,1,95-41,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,26,91546.0,6568.0,1,95-42,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,4,27,95067.0,6568.0,1,95-43,,,
LaMP HP whole wafer,3521,1642,-66899,-65680,54-00,,,5,9,31689.0,8210.0,1,92-30,,,
