recipe_name,die_size_x,die_size_y,x_move_first,y_move_first,align_die,shot_rows,shot_cols,row,col,x_um,y_um,included,die1,die2,die3,die4
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,3,40832.0,7694.0,1,02E,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,4,51040.0,7694.0,1,02F,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,5,61248.0,7694.0,1,02G,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,6,71456.0,7694.0,1,02H,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,7,81664.0,7694.0,1,02I,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,8,91872.0,7694.0,1,02J,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,9,102080.0,7694.0,1,02K,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,0,10,112288.0,7694.0,1,02L,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,11,122496.0,15388.0,1,03M,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,10,112288.0,15388.0,1,03L,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,9,102080.0,15388.0,1,03K,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,8,91872.0,15388.0,1,03J,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,7,81664.0,15388.0,1,03I,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,6,71456.0,15388.0,1,03H,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,5,61248.0,15388.0,1,03G,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,4,51040.0,15388.0,1,03F,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,3,40832.0,15388.0,1,03E,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,1,2,30624.0,15388.0,1,03D,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,1,20416.0,23082.0,1,04C,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,2,30624.0,23082.0,1,04D,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,3,40832.0,23082.0,1,04E,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,4,51040.0,23082.0,1,04F,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,5,61248.0,23082.0,1,04G,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,6,71456.0,23082.0,1,04H,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,7,81664.0,23082.0,1,04I,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,8,91872.0,23082.0,1,04J,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,9,102080.0,23082.0,1,04K,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,10,112288.0,23082.0,1,04L,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,11,122496.0,23082.0,1,04M,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,2,12,132704.0,23082.0,1,04N,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,12,132704.0,30776.0,1,05N,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,11,122496.0,30776.0,1,05M,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,10,112288.0,30776.0,1,05L,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,9,102080.0,30776.0,1,05K,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,8,91872.0,30776.0,1,05J,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,7,81664.0,30776.0,1,05I,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,6,71456.0,30776.0,1,05H,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,5,61248.0,30776.0,1,05G,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,4,51040.0,30776.0,1,05F,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,3,40832.0,30776.0,1,05E,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,2,30624.0,30776.0,1,05D,,,
Maddy TL PROBE01,10208,7694,-81664,-84634,12i,,,3,1,20416.0,30776.0,1,05C,,,
