row,col,label
1,7,01G
1,8,01H
1,9,01I
1,10,01J
1,11,01K
1,12,01L
2,6,02F
2,7,02G
2,8,02H
2,9,02I
2,10,02J
2,11,02K
2,12,02L
2,13,02M
3,5,03E
3,6,03F
3,7,03G
3,8,03H
3,9,03I
3,10,03J
3,11,03K
3,12,03L
3,13,03M
3,14,03N
4,4,04D
4,5,04E
4,6,04F
4,7,04G
4,8,04H
4,9,04I
4,10,04J
4,11,04K
4,12,04L
4,13,04M
4,14,04N
4,15,04O
5,4,05D
5,5,05E
5,6,05F
5,7,05G
5,8,05H
5,9,05I
5,10,05J
5,11,05K
5,12,05L
5,13,05M
5,14,05N
5,15,05O
6,3,06C
6,4,06D
6,5,06E
6,6,06F
6,7,06G
6,8,06H
6,9,06I
6,10,06J
6,11,06K
6,12,06L
6,13,06M
6,14,06N
6,15,06O
6,16,06P
7,2,07B
7,3,07C
7,4,07D
7,5,07E
7,6,07F
7,7,07G
7,8,07H
7,9,07I
7,10,07J
7,11,07K
7,12,07L
7,13,07M
7,14,07N
7,15,07O
7,16,07P
7,17,07Q
8,2,08B
8,3,08C
8,4,08D
8,5,08E
8,6,08F
8,7,08G
8,8,08H
8,9,08I
8,10,08J
8,11,08K
8,12,08L
8,13,08M
8,14,08N
8,15,08O
8,16,08P
8,17,08Q
9,2,09B
9,3,09C
9,4,09D
9,5,09E
9,6,09F
9,7,09G
9,8,09H
9,9,09I
9,10,09J
9,11,09K
9,12,09L
9,13,09M
9,14,09N
9,15,09O
9,16,09P
9,17,09Q
10,1,10A
10,2,10B
10,3,10C
10,4,10D
10,5,10E
10,6,10F
10,7,10G
10,8,10H
10,9,10I
10,10,10J
10,11,10K
10,12,10L
10,13,10M
10,14,10N
10,15,10O
10,16,10P
10,17,10Q
10,18,10R
11,1,11A
11,2,11B
11,3,11C
11,4,11D
11,5,11E
11,6,11F
11,7,11G
11,8,11H
11,9,11I
11,10,11J
11,11,11K
11,12,11L
11,13,11M
11,14,11N
11,15,11O
11,16,11P
11,17,11Q
11,18,11R
12,1,12A
12,2,12B
12,3,12C
12,4,12D
12,5,12E
12,6,12F
12,7,12G
12,8,12H
12,9,12I
12,10,12J
12,11,12K
12,12,12L
12,13,12M
12,14,12N
12,15,12O
12,16,12P
12,17,12Q
12,18,12R
13,1,13A
13,2,13B
13,3,13C
13,4,13D
13,5,13E
13,6,13F
13,7,13G
13,8,13H
13,9,13I
13,10,13J
13,11,13K
13,12,13L
13,13,13M
13,14,13N
13,15,13O
13,16,13P
13,17,13Q
13,18,13R
14,1,14A
14,2,14B
14,3,14C
14,4,14D
14,5,14E
14,6,14F
14,7,14G
14,8,14H
14,9,14I
14,10,14J
14,11,14K
14,12,14L
14,13,14M
14,14,14N
14,15,14O
14,16,14P
14,17,14Q
14,18,14R
15,2,15B
15,3,15C
15,4,15D
15,5,15E
15,6,15F
15,7,15G
15,8,15H
15,9,15I
15,10,15J
15,11,15K
15,12,15L
15,13,15M
15,14,15N
15,15,15O
15,16,15P
15,17,15Q
16,2,16B
16,3,16C
16,4,16D
16,5,16E
16,6,16F
16,7,16G
16,8,16H
16,9,16I
16,10,16J
16,11,16K
16,12,16L
16,13,16M
16,14,16N
16,15,16O
16,16,16P
16,17,16Q
17,2,17B
17,3,17C
17,4,17D
17,5,17E
17,6,17F
17,7,17G
17,8,17H
17,9,17I
17,10,17J
17,11,17K
17,12,17L
17,13,17M
17,14,17N
17,15,17O
17,16,17P
17,17,17Q
18,3,18C
18,4,18D
18,5,18E
18,6,18F
18,7,18G
18,8,18H
18,9,18I
18,10,18J
18,11,18K
18,12,18L
18,13,18M
18,14,18N
18,15,18O
18,16,18P
19,3,19C
19,4,19D
19,5,19E
19,6,19F
19,7,19G
19,8,19H
19,9,19I
19,10,19J
19,11,19K
19,12,19L
19,13,19M
19,14,19N
19,15,19O
19,16,19P
20,4,20D
20,5,20E
20,6,20F
20,7,20G
20,8,20H
20,9,20I
20,10,20J
20,11,20K
20,12,20L
20,13,20M
20,14,20N
20,15,20O
21,5,21E
21,6,21F
21,7,21G
21,8,21H
21,9,21I
21,10,21J
21,11,21K
21,12,21L
21,13,21M
21,14,21N
22,6,22F
22,7,22G
22,8,22H
22,9,22I
22,10,22J
22,11,22K
22,12,22L
22,13,22M
23,7,23G
23,8,23H
23,9,23I
23,10,23J
23,11,23K
23,12,23L
