cell,is_top_level,polygon_count,label_count,reference_count,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
0,False,4,0,0,0.41200000000000003,-27.189,38.044000000000004,29.387,37.632000000000005,56.576,19.228,1.0990000000000002
1,False,1,0,0,3.974,-26.313,26.758,29.239,22.784,55.552,15.366,1.463000000000001
2,False,5,0,0,2.078,-26.814,36.382,29.506,34.303999999999995,56.32,19.23,1.346
3,False,5,0,0,0.927,-28.032,37.535000000000004,28.032,36.608000000000004,56.064,19.231,0.0
Pads_Lyr152_RevB,False,1,0,0,-1034.55,-1922.25,-1025.8,-1910.25,8.75,12.0,-1030.175,-1916.25
03_die_Lyr152_RevB,False,163,0,1,-5076.8,-3737.3,4768.6,3737.5,9845.400000000001,7474.8,-154.0999999999999,0.09999999999990905
4,False,2,0,0,2.978,-27.776,39.33,27.776,36.352,55.552,21.154,0.0
5,False,2,0,0,3.231,-28.032,35.231,28.032,32.0,56.064,19.231,0.0
6,False,5,0,0,0.28700000000000003,-28.032,38.175000000000004,28.032,37.888000000000005,56.064,19.231,0.0
7,False,2,0,0,0.671,-27.776,37.791000000000004,27.776,37.120000000000005,55.552,19.231,0.0
8,False,9,0,0,0.28700000000000003,-28.288,38.175000000000004,28.288,37.888000000000005,56.576,19.231,0.0
9,False,6,0,0,0.28700000000000003,-28.032,38.175000000000004,28.032,37.888000000000005,56.064,19.231,0.0
A,False,3,0,0,-0.098,-24.51,38.558,27.202,38.656,51.712,19.23,1.346
B,False,2,0,0,0.41500000000000004,-25.856,38.047000000000004,25.856,37.632000000000005,51.712,19.231,0.0
C,False,5,0,0,2.975,-26.496000000000002,35.487,26.496000000000002,32.512,52.992000000000004,19.231,0.0
col_01,False,0,0,2,65.968,-27.189,137.869,29.387,71.901,56.576,101.9185,1.0990000000000002
col_02,False,0,0,2,65.968,-27.189,147.493,29.506,81.52499999999999,56.695,106.7305,1.1585
col_03,False,0,0,2,65.97800000000001,-28.032,148.64600000000002,29.387,82.668,57.419,107.31200000000001,0.6775000000000002
col_04,False,0,0,2,65.968,-27.776,150.441,29.387,84.473,57.163,108.2045,0.8055000000000003
col_05,False,0,0,2,65.968,-28.032,146.342,29.387,80.37400000000001,57.419,106.155,0.6775000000000002
col_06,False,0,0,2,65.968,-28.032,149.286,29.387,83.318,57.419,107.62700000000001,0.6775000000000002
col_07,False,0,0,2,65.968,-27.776,148.90200000000002,29.387,82.93400000000001,57.163,107.435,0.8055000000000003
col_08,False,0,0,2,65.968,-28.288,149.286,29.387,83.318,57.675,107.62700000000001,0.5495000000000001
col_09,False,0,0,2,65.968,-28.032,149.286,29.387,83.318,57.419,107.62700000000001,0.6775000000000002
col_10,False,0,0,2,69.53,-27.189,149.11,29.387,79.58000000000001,56.576,109.32000000000001,1.0990000000000002
col_11,False,0,0,2,69.53,-26.313,137.869,29.239,68.339,55.552,103.6995,1.463000000000001
col_12,False,0,0,2,69.53,-26.814,147.493,29.506,77.963,56.32,108.5115,1.346
col_13,False,0,0,2,69.53,-28.032,148.64600000000002,29.239,79.11600000000001,57.271,109.08800000000001,0.6035000000000004
col_14,False,0,0,2,69.53,-27.776,150.441,29.239,80.911,57.015,109.9855,0.7315000000000005
col_15,False,0,0,2,69.53,-28.032,146.342,29.239,76.81200000000001,57.271,107.936,0.6035000000000004
col_16,False,0,0,2,69.53,-28.032,149.286,29.239,79.756,57.271,109.408,0.6035000000000004
col_17,False,0,0,2,69.53,-27.776,148.90200000000002,29.239,79.37200000000001,57.015,109.21600000000001,0.7315000000000005
col_18,False,0,0,2,69.53,-28.288,149.286,29.239,79.756,57.527,109.408,0.47550000000000026
col_19,False,0,0,2,69.53,-28.032,149.286,29.239,79.756,57.271,109.408,0.6035000000000004
col_20,False,0,0,2,67.634,-27.189,149.11,29.506,81.47600000000001,56.695,108.37200000000001,1.1585
col_21,False,0,0,2,67.634,-26.814,137.869,29.506,70.235,56.32,102.7515,1.346
col_22,False,0,0,2,67.634,-26.814,147.493,29.506,79.859,56.32,107.5635,1.346
col_23,False,0,0,2,67.634,-28.032,148.64600000000002,29.506,81.01200000000001,57.538,108.14000000000001,0.7370000000000001
D,False,3,0,0,2.975,-25.856,35.487,25.856,32.512,51.712,19.231,0.0
E,False,1,0,0,2.975,-25.856,35.487,25.856,32.512,51.712,19.231,0.0
ExclusionZone_8in_5mm,False,512,0,0,-100000.0,-100000.0,100000.0,100000.0,200000.0,200000.0,0.0,0.0
F,False,1,0,0,5.279,-25.856,33.183,25.856,27.904,51.712,19.231,0.0
G,False,5,0,0,1.439,-26.496000000000002,37.023,26.496000000000002,35.584,52.992000000000004,19.231,0.0
H,False,1,0,0,2.335,-25.856,36.127,25.856,33.792,51.712,19.231,0.0
I,False,1,0,0,1.817,-25.856,28.953,25.856,27.136,51.712,15.385,0.0
J,False,1,0,0,5.663,-26.112000000000002,32.799,26.112000000000002,27.136,52.224000000000004,19.231,0.0
K,False,5,0,0,-1.121,-25.856,39.583,25.856,40.704,51.712,19.230999999999998,0.0
L,False,1,0,0,1.823,-25.856,36.639,25.856,34.816,51.712,19.231,0.0
M,False,1,0,0,0.799,-25.856,37.663000000000004,25.856,36.864000000000004,51.712,19.231,0.0
M3B_die_tgt,False,3,0,0,-2487.525,-825.0,1512.4750000000001,825.0,4000.0,1650.0,-487.525,0.0
MADDY03CR1F_1X,False,209234,0,0,-10214.25,-11550.25,10214.25,11550.25,20428.5,23100.5,0.0,0.0
Q,False,6,0,0,-1.249,-26.240000000000002,39.711,26.240000000000002,40.96,52.480000000000004,19.230999999999998,0.0
row_Q,False,0,0,1,-56.80500000000001,-26.240000000000002,-15.845000000000006,26.240000000000002,40.96,52.480000000000004,-36.325,0.0
R,False,3,0,0,1.439,-25.856,37.023,25.856,35.584,51.712,19.231,0.0
row_R,False,0,0,1,-54.117000000000004,-25.856,-18.533,25.856,35.584,51.712,-36.325,0.0
P,False,2,0,0,1.311,-25.856,37.151,25.856,35.84,51.712,19.231,0.0
row_P,False,0,0,1,-54.245000000000005,-25.856,-18.405,25.856,35.84,51.712,-36.325,0.0
O,False,4,0,0,0.671,-26.496000000000002,37.791000000000004,26.496000000000002,37.120000000000005,52.992000000000004,19.231,0.0
row_O,False,0,0,1,-54.885000000000005,-26.496000000000002,-17.765,26.496000000000002,37.120000000000005,52.992000000000004,-36.325,0.0
N,False,2,0,0,1.823,-25.856,36.639,25.856,34.816,51.712,19.231,0.0
row_N,False,0,0,1,-53.733000000000004,-25.856,-18.917,25.856,34.816,51.712,-36.325,0.0
row_M,False,0,0,1,-54.757000000000005,-25.856,-17.893,25.856,36.864000000000004,51.712,-36.325,0.0
row_L,False,0,0,1,-53.733000000000004,-25.856,-18.917,25.856,34.816,51.712,-36.325,0.0
row_K,False,0,0,1,-56.67700000000001,-25.856,-15.973000000000006,25.856,40.704,51.712,-36.325,0.0
row_J,False,0,0,1,-49.893,-26.112000000000002,-22.757000000000005,26.112000000000002,27.135999999999996,52.224000000000004,-36.325,0.0
