,,,,,,01G,01H,01I,01J,01K,01L,,,,,,
,,,,,02F,02G,02H,02I,02J,02K,02L,02M,,,,,
,,,,03E,03F,03G,03H,03I,03J,03K,03L,03M,03N,,,,
,,,04D,04E,04F,04G,04H,04I,04J,04K,04L,04M,04N,04O,,,
,,,05D,05E,05F,05G,05H,05I,05J,05K,05L,05M,05N,05O,,,
,,06C,06D,06E,06F,06G,06H,06I,06J,06K,06L,06M,06N,06O,06P,,
,07B,07C,07D,07E,07F,07G,07H,07I,07J,07K,07L,07M,07N,07O,07P,07Q,
,08B,08C,08D,08E,08F,08G,08H,08I,08J,08K,08L,08M,08N,08O,08P,08Q,
,09B,09C,09D,09E,09F,09G,09H,09I,09J,09K,09L,09M,09N,09O,09P,09Q,
,10B,10C,10D,10E,10F,10G,10H,10I,10J,10K,10L,10M,10N,10O,10P,10Q,10R
11A,11B,11C,11D,11E,11F,11G,11H,11I,11J,11K,11L,11M,11N,11O,11P,11Q,11R
12A,12B,12C,12D,12E,12F,12G,12H,12I,12J,12K,12L,12M,12N,12O,12P,12Q,12R
13A,13B,13C,13D,13E,13F,13G,13H,13I,13J,13K,13L,13M,13N,13O,13P,13Q,13R
14A,14B,14C,14D,14E,14F,14G,14H,14I,14J,14K,14L,14M,14N,14O,14P,14Q,14R
,15B,15C,15D,15E,15F,15G,15H,15I,15J,15K,15L,15M,15N,15O,15P,15Q,
,16B,16C,16D,16E,16F,16G,16H,16I,16J,16K,16L,16M,16N,16O,16P,16Q,
,17B,17C,17D,17E,17F,17G,17H,17I,17J,17K,17L,17M,17N,17O,17P,,
,18B,18C,18D,18E,18F,18G,18H,18I,18J,18K,18L,18M,18N,18O,18P,,
,19B,19C,19D,19E,19F,19G,19H,19I,19J,19K,19L,19M,19N,19O,19P,,
,,,20D,20E,20F,20G,20H,20I,20J,20K,20L,20M,20N,20O,,,
,,,,21E,21F,21G,21H,21I,21J,21K,21L,21M,21N,,,,
,,,,,22F,22G,22H,22I,22J,22K,22L,22M,,,,,
,,,,,,,23H,23I,23J,23K,23L,,,,,,
