parent_cell,reference_index,referenced_cell,origin_x_um,origin_y_um,rotation,magnification,x_reflection,columns,rows,spacing_x_um,spacing_y_um,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
03_die_Lyr152_RevB,1,Pads_Lyr152_RevB,0.0,0.0,0.0,1.0,False,,,,,-1034.55,-1922.25,1056.7,1922.25,2091.25,3844.5,11.075000000000045,0.0
col_01,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_01,2,1,111.111,0.0,0.0,1.0,False,,,,,115.08500000000001,-26.313,137.869,29.239,22.783999999999992,55.552,126.477,1.463000000000001
col_02,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_02,2,2,111.111,0.0,0.0,1.0,False,,,,,113.18900000000001,-26.814,147.493,29.506,34.30399999999999,56.32,130.341,1.346
col_03,1,0,65.566,0.0,0.0,1.0,False,,,,,65.97800000000001,-27.189,103.61000000000001,29.387,37.632000000000005,56.576,84.79400000000001,1.0990000000000002
col_03,2,3,111.111,0.0,0.0,1.0,False,,,,,112.03800000000001,-28.032,148.64600000000002,28.032,36.608000000000004,56.064,130.342,0.0
col_04,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_04,2,4,111.111,0.0,0.0,1.0,False,,,,,114.089,-27.776,150.441,27.776,36.352000000000004,55.552,132.265,0.0
col_05,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_05,2,5,111.111,0.0,0.0,1.0,False,,,,,114.342,-28.032,146.342,28.032,32.000000000000014,56.064,130.342,0.0
col_06,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_06,2,6,111.111,0.0,0.0,1.0,False,,,,,111.39800000000001,-28.032,149.286,28.032,37.88799999999999,56.064,130.342,0.0
col_07,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_07,2,7,111.111,0.0,0.0,1.0,False,,,,,111.78200000000001,-27.776,148.90200000000002,27.776,37.120000000000005,55.552,130.342,0.0
col_08,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_08,2,8,111.111,0.0,0.0,1.0,False,,,,,111.39800000000001,-28.288,149.286,28.288,37.88799999999999,56.576,130.342,0.0
col_09,1,0,65.556,0.0,0.0,1.0,False,,,,,65.968,-27.189,103.6,29.387,37.63199999999999,56.576,84.78399999999999,1.0990000000000002
col_09,2,9,111.111,0.0,0.0,1.0,False,,,,,111.39800000000001,-28.032,149.286,28.032,37.88799999999999,56.064,130.342,0.0
col_10,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_10,2,0,111.066,0.0,0.0,1.0,False,,,,,111.47800000000001,-27.189,149.11,29.387,37.632000000000005,56.576,130.294,1.0990000000000002
col_11,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_11,2,1,111.111,0.0,0.0,1.0,False,,,,,115.08500000000001,-26.313,137.869,29.239,22.783999999999992,55.552,126.477,1.463000000000001
col_12,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_12,2,2,111.111,0.0,0.0,1.0,False,,,,,113.18900000000001,-26.814,147.493,29.506,34.30399999999999,56.32,130.341,1.346
col_13,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_13,2,3,111.111,0.0,0.0,1.0,False,,,,,112.03800000000001,-28.032,148.64600000000002,28.032,36.608000000000004,56.064,130.342,0.0
col_14,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_14,2,4,111.111,0.0,0.0,1.0,False,,,,,114.089,-27.776,150.441,27.776,36.352000000000004,55.552,132.265,0.0
col_15,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_15,2,5,111.111,0.0,0.0,1.0,False,,,,,114.342,-28.032,146.342,28.032,32.000000000000014,56.064,130.342,0.0
col_16,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_16,2,6,111.111,0.0,0.0,1.0,False,,,,,111.39800000000001,-28.032,149.286,28.032,37.88799999999999,56.064,130.342,0.0
col_17,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_17,2,7,111.111,0.0,0.0,1.0,False,,,,,111.78200000000001,-27.776,148.90200000000002,27.776,37.120000000000005,55.552,130.342,0.0
col_18,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_18,2,8,111.111,0.0,0.0,1.0,False,,,,,111.39800000000001,-28.288,149.286,28.288,37.88799999999999,56.576,130.342,0.0
col_19,1,1,65.556,0.0,0.0,1.0,False,,,,,69.53,-26.313,92.314,29.239,22.783999999999992,55.552,80.922,1.463000000000001
col_19,2,9,111.111,0.0,0.0,1.0,False,,,,,111.39800000000001,-28.032,149.286,28.032,37.88799999999999,56.064,130.342,0.0
col_20,1,2,65.556,0.0,0.0,1.0,False,,,,,67.634,-26.814,101.93799999999999,29.506,34.30399999999999,56.32,84.786,1.346
col_20,2,0,111.066,0.0,0.0,1.0,False,,,,,111.47800000000001,-27.189,149.11,29.387,37.632000000000005,56.576,130.294,1.0990000000000002
col_21,1,2,65.556,0.0,0.0,1.0,False,,,,,67.634,-26.814,101.93799999999999,29.506,34.30399999999999,56.32,84.786,1.346
col_21,2,1,111.111,0.0,0.0,1.0,False,,,,,115.08500000000001,-26.313,137.869,29.239,22.783999999999992,55.552,126.477,1.463000000000001
col_22,1,2,65.556,0.0,0.0,1.0,False,,,,,67.634,-26.814,101.93799999999999,29.506,34.30399999999999,56.32,84.786,1.346
col_22,2,2,111.111,0.0,0.0,1.0,False,,,,,113.18900000000001,-26.814,147.493,29.506,34.30399999999999,56.32,130.341,1.346
col_23,1,2,65.556,0.0,0.0,1.0,False,,,,,67.634,-26.814,101.93799999999999,29.506,34.30399999999999,56.32,84.786,1.346
col_23,2,3,111.111,0.0,0.0,1.0,False,,,,,112.03800000000001,-28.032,148.64600000000002,28.032,36.608000000000004,56.064,130.342,0.0
row_Q,1,Q,-55.556000000000004,0.0,0.0,1.0,False,,,,,-56.80500000000001,-26.240000000000002,-15.845000000000006,26.240000000000002,40.96,52.480000000000004,-36.325,0.0
row_R,1,R,-55.556000000000004,0.0,0.0,1.0,False,,,,,-54.117000000000004,-25.856,-18.533,25.856,35.584,51.712,-36.325,0.0
row_P,1,P,-55.556000000000004,0.0,0.0,1.0,False,,,,,-54.245000000000005,-25.856,-18.405,25.856,35.84,51.712,-36.325,0.0
row_O,1,O,-55.556000000000004,0.0,0.0,1.0,False,,,,,-54.885000000000005,-26.496000000000002,-17.765,26.496000000000002,37.120000000000005,52.992000000000004,-36.325,0.0
row_N,1,N,-55.556000000000004,0.0,0.0,1.0,False,,,,,-53.733000000000004,-25.856,-18.917,25.856,34.816,51.712,-36.325,0.0
row_M,1,M,-55.556000000000004,0.0,0.0,1.0,False,,,,,-54.757000000000005,-25.856,-17.893,25.856,36.864000000000004,51.712,-36.325,0.0
row_L,1,L,-55.556000000000004,0.0,0.0,1.0,False,,,,,-53.733000000000004,-25.856,-18.917,25.856,34.816,51.712,-36.325,0.0
row_K,1,K,-55.556000000000004,0.0,0.0,1.0,False,,,,,-56.67700000000001,-25.856,-15.973000000000006,25.856,40.704,51.712,-36.325,0.0
row_J,1,J,-55.556000000000004,0.0,0.0,1.0,False,,,,,-49.893,-26.112000000000002,-22.757000000000005,26.112000000000002,27.135999999999996,52.224000000000004,-36.325,0.0
row_I,1,I,-55.556000000000004,0.0,0.0,1.0,False,,,,,-53.739000000000004,-25.856,-26.603000000000005,25.856,27.136,51.712,-40.17100000000001,0.0
row_H,1,H,-55.556000000000004,0.0,0.0,1.0,False,,,,,-53.221000000000004,-25.856,-19.429000000000002,25.856,33.792,51.712,-36.325,0.0
row_G,1,G,-55.556000000000004,0.0,0.0,1.0,False,,,,,-54.117000000000004,-26.496000000000002,-18.533,26.496000000000002,35.584,52.992000000000004,-36.325,0.0
row_F,1,F,-55.556000000000004,0.0,0.0,1.0,False,,,,,-50.277,-25.856,-22.373000000000005,25.856,27.903999999999996,51.712,-36.325,0.0
row_E,1,E,-55.556000000000004,0.0,0.0,1.0,False,,,,,-52.581,-25.856,-20.069000000000003,25.856,32.512,51.712,-36.325,0.0
row_D,1,D,-55.556000000000004,0.0,0.0,1.0,False,,,,,-52.581,-25.856,-20.069000000000003,25.856,32.512,51.712,-36.325,0.0
row_C,1,C,-55.556000000000004,0.0,0.0,1.0,False,,,,,-52.581,-26.496000000000002,-20.069000000000003,26.496000000000002,32.512,52.992000000000004,-36.325,0.0
row_B,1,B,-55.556000000000004,0.0,0.0,1.0,False,,,,,-55.141000000000005,-25.856,-17.509,25.856,37.632000000000005,51.712,-36.325,0.0
row_A,1,A,-55.556000000000004,0.0,0.0,1.0,False,,,,,-55.654,-24.51,-16.998000000000005,27.202,38.656,51.712,-36.32600000000001,1.346
MADDY03EM3C,1,row_Q,77792.897,40601.603,1.5707963267948966,1.0,False,,,,,77766.65699999999,40544.798,77819.137,40585.758,52.48000000001048,40.95999999999913,77792.897,40565.278000000006
MADDY03EM3C,2,row_Q,77792.897,32901.603,1.5707963267948966,1.0,False,,,,,77766.65699999999,32844.798,77819.137,32885.758,52.48000000001048,40.95999999999913,77792.897,32865.278000000006
MADDY03EM3C,3,row_Q,77792.897,25201.603,1.5707963267948966,1.0,False,,,,,77766.65699999999,25144.798,77819.137,25185.757999999998,52.48000000001048,40.95999999999913,77792.897,25165.278
MADDY03EM3C,4,row_Q,77792.897,17501.603,1.5707963267948966,1.0,False,,,,,77766.65699999999,17444.798,77819.137,17485.757999999998,52.48000000001048,40.95999999999913,77792.897,17465.278
MADDY03EM3C,5,row_Q,77792.897,9801.603000000001,1.5707963267948966,1.0,False,,,,,77766.65699999999,9744.798,77819.137,9785.758000000002,52.48000000001048,40.960000000000946,77792.897,9765.278000000002
MADDY03EM3C,6,row_Q,77792.897,2101.603,1.5707963267948966,1.0,False,,,,,77766.65699999999,2044.798,77819.137,2085.7580000000003,52.48000000001048,40.960000000000264,77792.897,2065.2780000000002
MADDY03EM3C,7,row_Q,77792.897,-5598.397,1.5707963267948966,1.0,False,,,,,77766.65699999999,-5655.202,77819.137,-5614.242,52.48000000001048,40.960000000000036,77792.897,-5634.722
MADDY03EM3C,8,row_Q,77792.897,-13298.397,1.5707963267948966,1.0,False,,,,,77766.65699999999,-13355.202000000001,77819.137,-13314.242,52.48000000001048,40.960000000000946,77792.897,-13334.722000000002
MADDY03EM3C,9,row_Q,77792.897,-20998.397,1.5707963267948966,1.0,False,,,,,77766.65699999999,-21055.202,77819.137,-21014.242000000002,52.48000000001048,40.95999999999913,77792.897,-21034.722
MADDY03EM3C,10,row_Q,77792.897,-28698.397,1.5707963267948966,1.0,False,,,,,77766.65699999999,-28755.202,77819.137,-28714.242000000002,52.48000000001048,40.95999999999913,77792.897,-28734.722
MADDY03EM3C,11,row_Q,77792.897,-36398.397,1.5707963267948966,1.0,False,,,,,77766.65699999999,-36455.202,77819.137,-36414.242,52.48000000001048,40.95999999999913,77792.897,-36434.721999999994
MADDY03EM3C,12,row_R,88006.897,2101.603,1.5707963267948966,1.0,False,,,,,87981.041,2047.486,88032.753,2083.07,51.711999999999534,35.58400000000006,88006.897,2065.2780000000002
MADDY03EM3C,13,row_R,88006.897,9801.603000000001,1.5707963267948966,1.0,False,,,,,87981.041,9747.486,88032.753,9783.070000000002,51.711999999999534,35.58400000000074,88006.897,9765.278000000002
MADDY03EM3C,14,row_R,88006.897,17501.603,1.5707963267948966,1.0,False,,,,,87981.041,17447.486,88032.753,17483.07,51.711999999999534,35.58399999999892,88006.897,17465.278
MADDY03EM3C,15,row_R,88006.897,-13298.397,1.5707963267948966,1.0,False,,,,,87981.041,-13352.514000000001,88032.753,-13316.93,51.711999999999534,35.58400000000074,88006.897,-13334.722000000002
