row,col,x_die,y_die,raw_q
-50,-8,-8,-50,QY-050X-008
-50,-7,-7,-50,QY-050X-007
-50,-6,-6,-50,QY-050X-006
-50,-5,-5,-50,QY-050X-005
-50,-4,-4,-50,QY-050X-004
-50,-3,-3,-50,QY-050X-003
-50,-2,-2,-50,QY-050X-002
-50,-1,-1,-50,QY-050X-001
-50,0,0,-50,QY-050X0000
-50,1,1,-50,QY-050X0001
-50,2,2,-50,QY-050X0002
-50,3,3,-50,QY-050X0003
-50,4,4,-50,QY-050X0004
-50,5,5,-50,QY-050X0005
-50,6,6,-50,QY-050X0006
-49,6,6,-49,QY-049X0006
-49,5,5,-49,QY-049X0005
-49,4,4,-49,QY-049X0004
-49,3,3,-49,QY-049X0003
-49,2,2,-49,QY-049X0002
-49,1,1,-49,QY-049X0001
-49,0,0,-49,QY-049X0000
-49,-1,-1,-49,QY-049X-001
-49,-2,-2,-49,QY-049X-002
-49,-3,-3,-49,QY-049X-003
-49,-4,-4,-49,QY-049X-004
-49,-5,-5,-49,QY-049X-005
-49,-6,-6,-49,QY-049X-006
-49,-7,-7,-49,QY-049X-007
-49,-8,-8,-49,QY-049X-008
-48,-8,-8,-48,QY-048X-008
-48,-7,-7,-48,QY-048X-007
-48,-6,-6,-48,QY-048X-006
-48,-5,-5,-48,QY-048X-005
-48,-4,-4,-48,QY-048X-004
-48,-3,-3,-48,QY-048X-003
-48,-2,-2,-48,QY-048X-002
-48,-1,-1,-48,QY-048X-001
-48,0,0,-48,QY-048X0000
-48,1,1,-48,QY-048X0001
-48,2,2,-48,QY-048X0002
-48,3,3,-48,QY-048X0003
-48,4,4,-48,QY-048X0004
-48,5,5,-48,QY-048X0005
-48,6,6,-48,QY-048X0006
-47,6,6,-47,QY-047X0006
-47,5,5,-47,QY-047X0005
-47,4,4,-47,QY-047X0004
-47,3,3,-47,QY-047X0003
-47,2,2,-47,QY-047X0002
-47,1,1,-47,QY-047X0001
-47,0,0,-47,QY-047X0000
-47,-1,-1,-47,QY-047X-001
-47,-2,-2,-47,QY-047X-002
-47,-3,-3,-47,QY-047X-003
-47,-4,-4,-47,QY-047X-004
-47,-5,-5,-47,QY-047X-005
-47,-6,-6,-47,QY-047X-006
-47,-7,-7,-47,QY-047X-007
-47,-8,-8,-47,QY-047X-008
-46,-8,-8,-46,QY-046X-008
-46,-7,-7,-46,QY-046X-007
-46,-6,-6,-46,QY-046X-006
-46,-5,-5,-46,QY-046X-005
-46,-4,-4,-46,QY-046X-004
-46,-3,-3,-46,QY-046X-003
-46,-2,-2,-46,QY-046X-002
-46,-1,-1,-46,QY-046X-001
-46,0,0,-46,QY-046X0000
-46,1,1,-46,QY-046X0001
-46,2,2,-46,QY-046X0002
-46,3,3,-46,QY-046X0003
-46,4,4,-46,QY-046X0004
-46,5,5,-46,QY-046X0005
-46,6,6,-46,QY-046X0006
-45,21,21,-45,QY-045X0021
-45,20,20,-45,QY-045X0020
-45,19,19,-45,QY-045X0019
-45,18,18,-45,QY-045X0018
-45,17,17,-45,QY-045X0017
-45,16,16,-45,QY-045X0016
-45,15,15,-45,QY-045X0015
-45,14,14,-45,QY-045X0014
-45,13,13,-45,QY-045X0013
-45,12,12,-45,QY-045X0012
-45,11,11,-45,QY-045X0011
-45,10,10,-45,QY-045X0010
-45,9,9,-45,QY-045X0009
-45,8,8,-45,QY-045X0008
-45,7,7,-45,QY-045X0007
-45,6,6,-45,QY-045X0006
-45,5,5,-45,QY-045X0005
-45,4,4,-45,QY-045X0004
-45,3,3,-45,QY-045X0003
-45,2,2,-45,QY-045X0002
-45,1,1,-45,QY-045X0001
-45,0,0,-45,QY-045X0000
-45,-1,-1,-45,QY-045X-001
-45,-2,-2,-45,QY-045X-002
-45,-3,-3,-45,QY-045X-003
-45,-4,-4,-45,QY-045X-004
-45,-5,-5,-45,QY-045X-005
-45,-6,-6,-45,QY-045X-006
-45,-7,-7,-45,QY-045X-007
-45,-8,-8,-45,QY-045X-008
-45,-9,-9,-45,QY-045X-009
-45,-10,-10,-45,QY-045X-010
-45,-11,-11,-45,QY-045X-011
-45,-12,-12,-45,QY-045X-012
-45,-13,-13,-45,QY-045X-013
-45,-14,-14,-45,QY-045X-014
-45,-15,-15,-45,QY-045X-015
-45,-16,-16,-45,QY-045X-016
-45,-17,-17,-45,QY-045X-017
-45,-18,-18,-45,QY-045X-018
-45,-19,-19,-45,QY-045X-019
-45,-20,-20,-45,QY-045X-020
-45,-21,-21,-45,QY-045X-021
-45,-22,-22,-45,QY-045X-022
-45,-23,-23,-45,QY-045X-023
-44,-23,-23,-44,QY-044X-023
-44,-22,-22,-44,QY-044X-022
-44,-21,-21,-44,QY-044X-021
-44,-20,-20,-44,QY-044X-020
-44,-19,-19,-44,QY-044X-019
-44,-18,-18,-44,QY-044X-018
-44,-17,-17,-44,QY-044X-017
-44,-16,-16,-44,QY-044X-016
-44,-15,-15,-44,QY-044X-015
-44,-14,-14,-44,QY-044X-014
-44,-13,-13,-44,QY-044X-013
-44,-12,-12,-44,QY-044X-012
-44,-11,-11,-44,QY-044X-011
-44,-10,-10,-44,QY-044X-010
-44,-9,-9,-44,QY-044X-009
-44,-8,-8,-44,QY-044X-008
-44,-7,-7,-44,QY-044X-007
-44,-6,-6,-44,QY-044X-006
-44,-5,-5,-44,QY-044X-005
-44,-4,-4,-44,QY-044X-004
-44,-3,-3,-44,QY-044X-003
-44,-2,-2,-44,QY-044X-002
-44,-1,-1,-44,QY-044X-001
-44,0,0,-44,QY-044X0000
-44,1,1,-44,QY-044X0001
-44,2,2,-44,QY-044X0002
-44,3,3,-44,QY-044X0003
-44,4,4,-44,QY-044X0004
-44,5,5,-44,QY-044X0005
-44,6,6,-44,QY-044X0006
-44,7,7,-44,QY-044X0007
-44,8,8,-44,QY-044X0008
-44,9,9,-44,QY-044X0009
-44,10,10,-44,QY-044X0010
-44,11,11,-44,QY-044X0011
-44,12,12,-44,QY-044X0012
-44,13,13,-44,QY-044X0013
-44,14,14,-44,QY-044X0014
-44,15,15,-44,QY-044X0015
-44,16,16,-44,QY-044X0016
-44,17,17,-44,QY-044X0017
-44,18,18,-44,QY-044X0018
-44,19,19,-44,QY-044X0019
-44,20,20,-44,QY-044X0020
-44,21,21,-44,QY-044X0021
-43,21,21,-43,QY-043X0021
-43,20,20,-43,QY-043X0020
-43,19,19,-43,QY-043X0019
-43,18,18,-43,QY-043X0018
-43,17,17,-43,QY-043X0017
-43,16,16,-43,QY-043X0016
-43,15,15,-43,QY-043X0015
-43,14,14,-43,QY-043X0014
-43,13,13,-43,QY-043X0013
-43,12,12,-43,QY-043X0012
-43,11,11,-43,QY-043X0011
-43,10,10,-43,QY-043X0010
-43,9,9,-43,QY-043X0009
-43,8,8,-43,QY-043X0008
-43,7,7,-43,QY-043X0007
-43,6,6,-43,QY-043X0006
-43,5,5,-43,QY-043X0005
-43,4,4,-43,QY-043X0004
-43,3,3,-43,QY-043X0003
-43,2,2,-43,QY-043X0002
-43,1,1,-43,QY-043X0001
-43,0,0,-43,QY-043X0000
-43,-1,-1,-43,QY-043X-001
-43,-2,-2,-43,QY-043X-002
-43,-3,-3,-43,QY-043X-003
-43,-4,-4,-43,QY-043X-004
-43,-5,-5,-43,QY-043X-005
-43,-6,-6,-43,QY-043X-006
-43,-7,-7,-43,QY-043X-007
-43,-8,-8,-43,QY-043X-008
-43,-9,-9,-43,QY-043X-009
-43,-10,-10,-43,QY-043X-010
-43,-11,-11,-43,QY-043X-011
-43,-12,-12,-43,QY-043X-012
-43,-13,-13,-43,QY-043X-013
-43,-14,-14,-43,QY-043X-014
-43,-15,-15,-43,QY-043X-015
-43,-16,-16,-43,QY-043X-016
-43,-17,-17,-43,QY-043X-017
-43,-18,-18,-43,QY-043X-018
-43,-19,-19,-43,QY-043X-019
-43,-20,-20,-43,QY-043X-020
-43,-21,-21,-43,QY-043X-021
-43,-22,-22,-43,QY-043X-022
-43,-23,-23,-43,QY-043X-023
-42,-23,-23,-42,QY-042X-023
-42,-22,-22,-42,QY-042X-022
-42,-21,-21,-42,QY-042X-021
-42,-20,-20,-42,QY-042X-020
-42,-19,-19,-42,QY-042X-019
-42,-18,-18,-42,QY-042X-018
-42,-17,-17,-42,QY-042X-017
-42,-16,-16,-42,QY-042X-016
-42,-15,-15,-42,QY-042X-015
-42,-14,-14,-42,QY-042X-014
-42,-13,-13,-42,QY-042X-013
-42,-12,-12,-42,QY-042X-012
-42,-11,-11,-42,QY-042X-011
-42,-10,-10,-42,QY-042X-010
-42,-9,-9,-42,QY-042X-009
-42,-8,-8,-42,QY-042X-008
-42,-7,-7,-42,QY-042X-007
-42,-6,-6,-42,QY-042X-006
-42,-5,-5,-42,QY-042X-005
-42,-4,-4,-42,QY-042X-004
-42,-3,-3,-42,QY-042X-003
-42,-2,-2,-42,QY-042X-002
-42,-1,-1,-42,QY-042X-001
-42,0,0,-42,QY-042X0000
-42,1,1,-42,QY-042X0001
-42,2,2,-42,QY-042X0002
-42,3,3,-42,QY-042X0003
-42,4,4,-42,QY-042X0004
-42,5,5,-42,QY-042X0005
-42,6,6,-42,QY-042X0006
-42,7,7,-42,QY-042X0007
-42,8,8,-42,QY-042X0008
-42,9,9,-42,QY-042X0009
-42,10,10,-42,QY-042X0010
-42,11,11,-42,QY-042X0011
-42,12,12,-42,QY-042X0012
-42,13,13,-42,QY-042X0013
-42,14,14,-42,QY-042X0014
-42,15,15,-42,QY-042X0015
-42,16,16,-42,QY-042X0016
-42,17,17,-42,QY-042X0017
-42,18,18,-42,QY-042X0018
-42,19,19,-42,QY-042X0019
-42,20,20,-42,QY-042X0020
-42,21,21,-42,QY-042X0021
-41,21,21,-41,QY-041X0021
-41,20,20,-41,QY-041X0020
-41,19,19,-41,QY-041X0019
-41,18,18,-41,QY-041X0018
-41,17,17,-41,QY-041X0017
-41,16,16,-41,QY-041X0016
-41,15,15,-41,QY-041X0015
-41,14,14,-41,QY-041X0014
-41,13,13,-41,QY-041X0013
-41,12,12,-41,QY-041X0012
-41,11,11,-41,QY-041X0011
-41,10,10,-41,QY-041X0010
-41,9,9,-41,QY-041X0009
-41,8,8,-41,QY-041X0008
-41,7,7,-41,QY-041X0007
-41,6,6,-41,QY-041X0006
-41,5,5,-41,QY-041X0005
-41,4,4,-41,QY-041X0004
-41,3,3,-41,QY-041X0003
-41,2,2,-41,QY-041X0002
-41,1,1,-41,QY-041X0001
-41,0,0,-41,QY-041X0000
-41,-1,-1,-41,QY-041X-001
-41,-2,-2,-41,QY-041X-002
-41,-3,-3,-41,QY-041X-003
-41,-4,-4,-41,QY-041X-004
-41,-5,-5,-41,QY-041X-005
-41,-6,-6,-41,QY-041X-006
-41,-7,-7,-41,QY-041X-007
-41,-8,-8,-41,QY-041X-008
-41,-9,-9,-41,QY-041X-009
-41,-10,-10,-41,QY-041X-010
-41,-11,-11,-41,QY-041X-011
-41,-12,-12,-41,QY-041X-012
-41,-13,-13,-41,QY-041X-013
-41,-14,-14,-41,QY-041X-014
-41,-15,-15,-41,QY-041X-015
-41,-16,-16,-41,QY-041X-016
-41,-17,-17,-41,QY-041X-017
-41,-18,-18,-41,QY-041X-018
-41,-19,-19,-41,QY-041X-019
-41,-20,-20,-41,QY-041X-020
-41,-21,-21,-41,QY-041X-021
-41,-22,-22,-41,QY-041X-022
-41,-23,-23,-41,QY-041X-023
-40,-33,-33,-40,QY-040X-033
