row,col,label
-50,-8,AA051
-50,-7,AA052
-50,-6,AA053
-50,-5,AA054
-50,-4,AA055
-50,-3,AA056
-50,-2,AA057
-50,-1,AA058
-50,0,AA059
-50,1,AA061
-50,2,AA062
-50,3,AA063
-50,4,AA064
-50,5,AA065
-50,6,AA066
-49,-8,AB051
-49,-7,AB052
-49,-6,AB053
-49,-5,AB054
-49,-4,AB055
-49,-3,AB056
-49,-2,AB057
-49,-1,AB058
-49,0,AB059
-49,1,AB061
-49,2,AB062
-49,3,AB063
-49,4,AB064
-49,5,AB065
-49,6,AB066
-48,-8,AC051
-48,-7,AC052
-48,-6,AC053
-48,-5,AC054
-48,-4,AC055
-48,-3,AC056
-48,-2,AC057
-48,-1,AC058
-48,0,AC059
-48,1,AC061
-48,2,AC062
-48,3,AC063
-48,4,AC064
-48,5,AC065
-48,6,AC066
-47,-8,AD051
-47,-7,AD052
-47,-6,AD053
-47,-5,AD054
-47,-4,AD055
-47,-3,AD056
-47,-2,AD057
-47,-1,AD058
-47,0,AD059
-47,1,AD061
-47,2,AD062
-47,3,AD063
-47,4,AD064
-47,5,AD065
-47,6,AD066
-46,-8,AE051
-46,-7,AE052
-46,-6,AE053
-46,-5,AE054
-46,-4,AE055
-46,-3,AE056
-46,-2,AE057
-46,-1,AE058
-46,0,AE059
-46,1,AE061
-46,2,AE062
-46,3,AE063
-46,4,AE064
-46,5,AE065
-46,6,AE066
-45,-23,AF034
-45,-22,AF035
-45,-21,AF036
-45,-20,AF037
-45,-19,AF038
-45,-18,AF039
-45,-17,AF041
-45,-16,AF042
-45,-15,AF043
-45,-14,AF044
-45,-13,AF045
-45,-12,AF046
-45,-11,AF047
-45,-10,AF048
-45,-9,AF049
-45,-8,AF051
-45,-7,AF052
-45,-6,AF053
-45,-5,AF054
-45,-4,AF055
-45,-3,AF056
-45,-2,AF057
-45,-1,AF058
-45,0,AF059
-45,1,AF061
-45,2,AF062
-45,3,AF063
-45,4,AF064
-45,5,AF065
-45,6,AF066
-45,7,AF067
-45,8,AF068
-45,9,AF069
-45,10,AF071
-45,11,AF072
-45,12,AF073
-45,13,AF074
-45,14,AF075
-45,15,AF076
-45,16,AF077
-45,17,AF078
-45,18,AF079
-45,19,AF081
-45,20,AF082
-45,21,AF083
-44,-23,AG034
-44,-22,AG035
-44,-21,AG036
-44,-20,AG037
-44,-19,AG038
-44,-18,AG039
-44,-17,AG041
-44,-16,AG042
-44,-15,AG043
-44,-14,AG044
-44,-13,AG045
-44,-12,AG046
-44,-11,AG047
-44,-10,AG048
-44,-9,AG049
-44,-8,AG051
-44,-7,AG052
-44,-6,AG053
-44,-5,AG054
-44,-4,AG055
-44,-3,AG056
-44,-2,AG057
-44,-1,AG058
-44,0,AG059
-44,1,AG061
-44,2,AG062
-44,3,AG063
-44,4,AG064
-44,5,AG065
-44,6,AG066
-44,7,AG067
-44,8,AG068
-44,9,AG069
-44,10,AG071
-44,11,AG072
-44,12,AG073
-44,13,AG074
-44,14,AG075
-44,15,AG076
-44,16,AG077
-44,17,AG078
-44,18,AG079
-44,19,AG081
-44,20,AG082
-44,21,AG083
-43,-23,AH034
-43,-22,AH035
-43,-21,AH036
-43,-20,AH037
-43,-19,AH038
-43,-18,AH039
-43,-17,AH041
-43,-16,AH042
-43,-15,AH043
-43,-14,AH044
-43,-13,AH045
-43,-12,AH046
-43,-11,AH047
-43,-10,AH048
-43,-9,AH049
-43,-8,AH051
-43,-7,AH052
-43,-6,AH053
-43,-5,AH054
-43,-4,AH055
-43,-3,AH056
-43,-2,AH057
-43,-1,AH058
-43,0,AH059
-43,1,AH061
-43,2,AH062
-43,3,AH063
-43,4,AH064
-43,5,AH065
-43,6,AH066
-43,7,AH067
-43,8,AH068
-43,9,AH069
-43,10,AH071
-43,11,AH072
-43,12,AH073
-43,13,AH074
-43,14,AH075
-43,15,AH076
-43,16,AH077
-43,17,AH078
-43,18,AH079
-43,19,AH081
-43,20,AH082
-43,21,AH083
-42,-23,AJ034
-42,-22,AJ035
-42,-21,AJ036
-42,-20,AJ037
-42,-19,AJ038
-42,-18,AJ039
-42,-17,AJ041
-42,-16,AJ042
-42,-15,AJ043
-42,-14,AJ044
-42,-13,AJ045
-42,-12,AJ046
-42,-11,AJ047
-42,-10,AJ048
-42,-9,AJ049
-42,-8,AJ051
-42,-7,AJ052
-42,-6,AJ053
-42,-5,AJ054
-42,-4,AJ055
-42,-3,AJ056
-42,-2,AJ057
-42,-1,AJ058
-42,0,AJ059
-42,1,AJ061
-42,2,AJ062
-42,3,AJ063
-42,4,AJ064
-42,5,AJ065
-42,6,AJ066
-42,7,AJ067
-42,8,AJ068
-42,9,AJ069
-42,10,AJ071
-42,11,AJ072
-42,12,AJ073
-42,13,AJ074
-42,14,AJ075
-42,15,AJ076
-42,16,AJ077
-42,17,AJ078
-42,18,AJ079
-42,19,AJ081
-42,20,AJ082
-42,21,AJ083
-41,-23,AK034
-41,-22,AK035
-41,-21,AK036
-41,-20,AK037
-41,-19,AK038
-41,-18,AK039
-41,-17,AK041
-41,-16,AK042
-41,-15,AK043
-41,-14,AK044
-41,-13,AK045
-41,-12,AK046
-41,-11,AK047
-41,-10,AK048
-41,-9,AK049
-41,-8,AK051
-41,-7,AK052
-41,-6,AK053
-41,-5,AK054
-41,-4,AK055
-41,-3,AK056
-41,-2,AK057
-41,-1,AK058
-41,0,AK059
-41,1,AK061
-41,2,AK062
-41,3,AK063
-41,4,AK064
-41,5,AK065
-41,6,AK066
-41,7,AK067
-41,8,AK068
-41,9,AK069
-41,10,AK071
-41,11,AK072
-41,12,AK073
-41,13,AK074
-41,14,AK075
-41,15,AK076
-41,16,AK077
-41,17,AK078
-41,18,AK079
-41,19,AK081
-41,20,AK082
-41,21,AK083
-40,-33,AL023
-40,-32,AL024
-40,-31,AL025
-40,-30,AL026
-40,-29,AL027
-40,-28,AL028
-40,-27,AL029
-40,-26,AL031
-40,-25,AL032
-40,-24,AL033
-40,-23,AL034
-40,-22,AL035
-40,-21,AL036
-40,-20,AL037
-40,-19,AL038
-40,-18,AL039
-40,-17,AL041
-40,-16,AL042
-40,-15,AL043
-40,-14,AL044
-40,-13,AL045
-40,-12,AL046
-40,-11,AL047
-40,-10,AL048
-40,-9,AL049
-40,-8,AL051
