row,col,x_die,y_die,raw_q
-6,-1,-1,-6,QY-006X-001
-6,0,0,-6,QY-006X0000
-6,1,1,-6,QY-006X0001
-6,2,2,-6,QY-006X0002
-5,4,4,-5,QY-005X0004
-5,3,3,-5,QY-005X0003
-5,2,2,-5,QY-005X0002
-5,1,1,-5,QY-005X0001
-5,0,0,-5,QY-005X0000
-5,-1,-1,-5,QY-005X-001
-5,-2,-2,-5,QY-005X-002
-5,-3,-3,-5,QY-005X-003
-4,-4,-4,-4,QY-004X-004
-4,-3,-3,-4,QY-004X-003
-4,-2,-2,-4,QY-004X-002
-4,-1,-1,-4,QY-004X-001
-4,0,0,-4,QY-004X0000
-4,1,1,-4,QY-004X0001
-4,2,2,-4,QY-004X0002
-4,3,3,-4,QY-004X0003
-4,4,4,-4,QY-004X0004
-4,5,5,-4,QY-004X0005
-3,6,6,-3,QY-003X0006
-3,5,5,-3,QY-003X0005
-3,4,4,-3,QY-003X0004
-3,3,3,-3,QY-003X0003
-3,2,2,-3,QY-003X0002
-3,1,1,-3,QY-003X0001
-3,0,0,-3,QY-003X0000
-3,-1,-1,-3,QY-003X-001
-3,-2,-2,-3,QY-003X-002
-3,-3,-3,-3,QY-003X-003
-3,-4,-4,-3,QY-003X-004
-3,-5,-5,-3,QY-003X-005
-2,-5,-5,-2,QY-002X-005
-2,-4,-4,-2,QY-002X-004
-2,-3,-3,-2,QY-002X-003
-2,-2,-2,-2,QY-002X-002
-2,-1,-1,-2,QY-002X-001
-2,0,0,-2,QY-002X0000
-2,1,1,-2,QY-002X0001
-2,2,2,-2,QY-002X0002
-2,3,3,-2,QY-002X0003
-2,4,4,-2,QY-002X0004
-2,5,5,-2,QY-002X0005
-2,6,6,-2,QY-002X0006
-1,7,7,-1,QY-001X0007
-1,6,6,-1,QY-001X0006
-1,5,5,-1,QY-001X0005
-1,4,4,-1,QY-001X0004
-1,3,3,-1,QY-001X0003
-1,2,2,-1,QY-001X0002
-1,1,1,-1,QY-001X0001
-1,0,0,-1,QY-001X0000
-1,-1,-1,-1,QY-001X-001
-1,-2,-2,-1,QY-001X-002
-1,-3,-3,-1,QY-001X-003
-1,-4,-4,-1,QY-001X-004
-1,-5,-5,-1,QY-001X-005
-1,-6,-6,-1,QY-001X-006
0,-6,-6,0,QY0000X-006
0,-5,-5,0,QY0000X-005
0,-4,-4,0,QY0000X-004
0,-3,-3,0,QY0000X-003
0,-2,-2,0,QY0000X-002
0,-1,-1,0,QY0000X-001
0,0,0,0,QY0000X0000
0,1,1,0,QY0000X0001
0,2,2,0,QY0000X0002
0,3,3,0,QY0000X0003
0,4,4,0,QY0000X0004
0,5,5,0,QY0000X0005
0,6,6,0,QY0000X0006
0,7,7,0,QY0000X0007
1,7,7,1,QY0001X0007
1,6,6,1,QY0001X0006
1,5,5,1,QY0001X0005
1,4,4,1,QY0001X0004
1,3,3,1,QY0001X0003
1,2,2,1,QY0001X0002
1,1,1,1,QY0001X0001
1,0,0,1,QY0001X0000
1,-1,-1,1,QY0001X-001
1,-2,-2,1,QY0001X-002
1,-3,-3,1,QY0001X-003
1,-4,-4,1,QY0001X-004
1,-5,-5,1,QY0001X-005
1,-6,-6,1,QY0001X-006
2,-6,-6,2,QY0002X-006
2,-5,-5,2,QY0002X-005
2,-4,-4,2,QY0002X-004
2,-3,-3,2,QY0002X-003
2,-2,-2,2,QY0002X-002
2,-1,-1,2,QY0002X-001
2,0,0,2,QY0002X0000
2,1,1,2,QY0002X0001
2,2,2,2,QY0002X0002
2,3,3,2,QY0002X0003
2,4,4,2,QY0002X0004
2,5,5,2,QY0002X0005
2,6,6,2,QY0002X0006
2,7,7,2,QY0002X0007
3,6,6,3,QY0003X0006
3,5,5,3,QY0003X0005
3,4,4,3,QY0003X0004
3,3,3,3,QY0003X0003
3,2,2,3,QY0003X0002
3,1,1,3,QY0003X0001
3,0,0,3,QY0003X0000
3,-1,-1,3,QY0003X-001
3,-2,-2,3,QY0003X-002
3,-3,-3,3,QY0003X-003
3,-4,-4,3,QY0003X-004
3,-5,-5,3,QY0003X-005
4,-5,-5,4,QY0004X-005
4,-4,-4,4,QY0004X-004
4,-3,-3,4,QY0004X-003
4,-2,-2,4,QY0004X-002
4,-1,-1,4,QY0004X-001
4,0,0,4,QY0004X0000
4,1,1,4,QY0004X0001
4,2,2,4,QY0004X0002
4,3,3,4,QY0004X0003
4,4,4,4,QY0004X0004
4,5,5,4,QY0004X0005
4,6,6,4,QY0004X0006
5,5,5,5,QY0005X0005
5,4,4,5,QY0005X0004
5,3,3,5,QY0005X0003
5,2,2,5,QY0005X0002
5,1,1,5,QY0005X0001
5,0,0,5,QY0005X0000
5,-1,-1,5,QY0005X-001
5,-2,-2,5,QY0005X-002
5,-3,-3,5,QY0005X-003
5,-4,-4,5,QY0005X-004
6,-3,-3,6,QY0006X-003
6,-2,-2,6,QY0006X-002
6,-1,-1,6,QY0006X-001
6,0,0,6,QY0006X0000
6,1,1,6,QY0006X0001
6,2,2,6,QY0006X0002
6,3,3,6,QY0006X0003
6,4,4,6,QY0006X0004
7,2,2,7,QY0007X0002
7,1,1,7,QY0007X0001
7,0,0,7,QY0007X0000
7,-1,-1,7,QY0007X-001
