row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,5,1,R0C0,1,43500,0,43500,0,43500,0,1
0,6,2,R0C0,2,52200,0,52200,0,52200,0,1
0,7,3,R0C0,3,60900,0,60900,0,60900,0,1
0,8,4,R0C0,4,69600,0,69600,0,69600,0,1
1,3,5,R0C0,5,26100,-8700,26100,8700,26100,8700,1
1,4,6,R0C0,6,34800,-8700,34800,8700,34800,8700,1
1,5,7,R0C0,7,43500,-8700,43500,8700,43500,8700,1
1,6,8,R0C0,8,52200,-8700,52200,8700,52200,8700,1
1,7,9,R0C0,9,60900,-8700,60900,8700,60900,8700,1
1,8,10,R0C0,10,69600,-8700,69600,8700,69600,8700,1
1,9,11,R0C0,11,78300,-8700,78300,8700,78300,8700,1
1,10,12,R0C0,12,87000,-8700,87000,8700,87000,8700,1
2,2,13,R0C0,13,17400,-17400,17400,17400,17400,17400,1
2,3,14,R0C0,14,26100,-17400,26100,17400,26100,17400,1
2,4,15,R0C0,15,34800,-17400,34800,17400,34800,17400,1
2,5,16,R0C0,16,43500,-17400,43500,17400,43500,17400,1
2,6,17,R0C0,17,52200,-17400,52200,17400,52200,17400,1
2,7,18,R0C0,18,60900,-17400,60900,17400,60900,17400,1
2,8,19,R0C0,19,69600,-17400,69600,17400,69600,17400,1
2,9,20,R0C0,20,78300,-17400,78300,17400,78300,17400,1
2,10,21,R0C0,21,87000,-17400,87000,17400,87000,17400,1
2,11,22,R0C0,22,95700,-17400,95700,17400,95700,17400,1
3,1,23,R0C0,23,8700,-26100,8700,26100,8700,26100,1
3,2,24,R0C0,24,17400,-26100,17400,26100,17400,26100,1
3,3,25,R0C0,25,26100,-26100,26100,26100,26100,26100,1
3,4,26,R0C0,26,34800,-26100,34800,26100,34800,26100,1
3,5,27,R0C0,27,43500,-26100,43500,26100,43500,26100,1
3,6,28,R0C0,28,52200,-26100,52200,26100,52200,26100,1
3,7,29,R0C0,29,60900,-26100,60900,26100,60900,26100,1
3,8,30,R0C0,30,69600,-26100,69600,26100,69600,26100,1
3,9,31,R0C0,31,78300,-26100,78300,26100,78300,26100,1
3,10,32,R0C0,32,87000,-26100,87000,26100,87000,26100,1
3,11,33,R0C0,33,95700,-26100,95700,26100,95700,26100,1
3,12,34,R0C0,34,104400,-26100,104400,26100,104400,26100,1
4,1,35,R0C0,35,8700,-34800,8700,34800,8700,34800,1
4,2,36,R0C0,36,17400,-34800,17400,34800,17400,34800,1
4,3,37,R0C0,37,26100,-34800,26100,34800,26100,34800,1
4,4,38,R0C0,38,34800,-34800,34800,34800,34800,34800,1
4,5,39,R0C0,39,43500,-34800,43500,34800,43500,34800,1
4,6,40,R0C0,40,52200,-34800,52200,34800,52200,34800,1
4,7,41,R0C0,41,60900,-34800,60900,34800,60900,34800,1
4,8,42,R0C0,42,69600,-34800,69600,34800,69600,34800,1
4,9,43,R0C0,43,78300,-34800,78300,34800,78300,34800,1
4,10,44,R0C0,44,87000,-34800,87000,34800,87000,34800,1
4,11,45,R0C0,45,95700,-34800,95700,34800,95700,34800,1
4,12,46,R0C0,46,104400,-34800,104400,34800,104400,34800,1
5,0,47,R0C0,47,0,-43500,0,43500,0,43500,1
5,1,48,R0C0,48,8700,-43500,8700,43500,8700,43500,1
5,2,49,R0C0,49,17400,-43500,17400,43500,17400,43500,1
5,3,50,R0C0,50,26100,-43500,26100,43500,26100,43500,1
5,4,51,R0C0,51,34800,-43500,34800,43500,34800,43500,1
5,5,52,R0C0,52,43500,-43500,43500,43500,43500,43500,1
5,6,53,R0C0,53,52200,-43500,52200,43500,52200,43500,1
5,7,54,R0C0,54,60900,-43500,60900,43500,60900,43500,1
5,8,55,R0C0,55,69600,-43500,69600,43500,69600,43500,1
5,9,56,R0C0,56,78300,-43500,78300,43500,78300,43500,1
5,10,57,R0C0,57,87000,-43500,87000,43500,87000,43500,1
5,11,58,R0C0,58,95700,-43500,95700,43500,95700,43500,1
5,12,59,R0C0,59,104400,-43500,104400,43500,104400,43500,1
5,13,60,R0C0,60,113100,-43500,113100,43500,113100,43500,1
6,0,61,R0C0,61,0,-52200,0,52200,0,52200,1
6,1,62,R0C0,62,8700,-52200,8700,52200,8700,52200,1
6,2,63,R0C0,63,17400,-52200,17400,52200,17400,52200,1
6,3,64,R0C0,64,26100,-52200,26100,52200,26100,52200,1
6,4,65,R0C0,65,34800,-52200,34800,52200,34800,52200,1
6,5,66,R0C0,66,43500,-52200,43500,52200,43500,52200,1
6,6,67,R0C0,67,52200,-52200,52200,52200,52200,52200,1
6,7,68,R0C0,68,60900,-52200,60900,52200,60900,52200,1
6,8,69,R0C0,69,69600,-52200,69600,52200,69600,52200,1
6,9,70,R0C0,70,78300,-52200,78300,52200,78300,52200,1
