kind,recipe,pin,pad,net,seq,bench,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,mrange,die,route
PIN,,J1,17,BPYsync,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J2,18,BYCLK,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J3,19,SPICLK,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J4,20,SPIDATA,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J5,21,BPXsync,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J6,22,MBS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J7,23,SPI_LOAD,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J8,24,1.8V_ANLG,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J9,25,REF_ELECPAD,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J10,26,AP457,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J11,27,AP513,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J12,29,BRm3TS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J13,32,BRLParaCap,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J14,34,BRRParaCap,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J15,37,BRTrace_Imp,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J16,30,BRm1TS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J17,31,TRm1TS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J18,38,TRTrace_Imp,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J19,36,TRTrace_Imp,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J20,35,TRRParaCap,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J21,33,TRLParaCap,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J25,28,TRm2TS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J26,5,TLTSB,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J27,3,TLSilicon,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J28,1,TLTSA,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J29,2,FIB_Pad,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J37,4,BLTS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J38,6,AP544,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J39,7,AP543,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J40,8,VTEST_DAC,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J41,9,CLK_SYS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J42,10,SYNC_SYS,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J43,11,GND,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J44,12,1.8V_DIG,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J45,13,OUT_LEFT,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J46,14,VHIGH/SH,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J47,15,VCC_LNA,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,J48,16,LNA_REF,,,,,,,,,,,,,,,,,,,,,,,,,
