row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,5,1,R0C1,A,100,0,100,0,80,0,1
0,6,1,R0C2,B,120,0,120,0,80,0,1
0,7,1,R0C3,C,140,0,140,0,80,0,1
1,4,1,R1C0,D,80,-200,80,200,80,0,1
1,5,1,R1C1,E,100,-200,100,200,80,0,1
1,6,1,R1C2,F,120,-200,120,200,80,0,1
2,1,2,R0C1,G,20,-400,20,400,0,400,1
2,2,2,R0C2,H,40,-400,40,400,0,400,1
2,3,2,R0C3,I,60,-400,60,400,0,400,1
3,0,2,R1C0,P,0,-600,0,600,0,400,1
3,1,2,R1C1,Q,20,-600,20,600,0,400,1
3,2,2,R1C2,R,40,-600,40,600,0,400,1
2,5,3,R0C1,J,100,-400,100,400,80,400,1
2,6,3,R0C2,K,120,-400,120,400,80,400,1
2,7,3,R0C3,L,140,-400,140,400,80,400,1
3,4,3,R1C0,S,80,-600,80,600,80,400,1
3,5,3,R1C1,T,100,-600,100,600,80,400,1
3,6,3,R1C2,U,120,-600,120,600,80,400,1
2,9,4,R0C1,M,180,-400,180,400,160,400,1
2,10,4,R0C2,N,200,-400,200,400,160,400,1
2,11,4,R0C3,O,220,-400,220,400,160,400,1
3,8,4,R1C0,V,160,-600,160,600,160,400,1
3,9,4,R1C1,W,180,-600,180,600,160,400,1
3,10,4,R1C2,X,200,-600,200,600,160,400,1
4,5,5,R0C1,Y,100,-800,100,800,80,800,1
4,6,5,R0C2,Z,120,-800,120,800,80,800,1
4,7,5,R0C3,AA,140,-800,140,800,80,800,1
5,4,5,R1C0,AB,80,-1000,80,1000,80,800,1
5,5,5,R1C1,AC,100,-1000,100,1000,80,800,1
5,6,5,R1C2,AD,120,-1000,120,1000,80,800,1
