row,col,seq,quad_pos,device_id,x_um,y_um,map_x,map_y,shot_x,shot_y,enabled
0,2,1,R0C0,,2000,0,2000,0,2000,0,1
0,3,2,R0C0,,3000,0,3000,0,3000,0,1
0,4,3,R0C0,,4000,0,4000,0,4000,0,1
0,5,4,R0C0,,5000,0,5000,0,5000,0,1
0,6,5,R0C0,,6000,0,6000,0,6000,0,1
0,7,6,R0C0,,7000,0,7000,0,7000,0,1
0,8,7,R0C0,,8000,0,8000,0,8000,0,1
0,9,8,R0C0,,9000,0,9000,0,9000,0,1
0,10,9,R0C0,,10000,0,10000,0,10000,0,1
0,13,10,R0C0,,13000,0,13000,0,13000,0,1
1,1,11,R0C0,,1000,-1000,1000,1000,1000,1000,1
1,2,12,R0C0,,2000,-1000,2000,1000,2000,1000,1
1,3,13,R0C0,1,3000,-1000,3000,1000,3000,1000,1
1,4,14,R0C0,2,4000,-1000,4000,1000,4000,1000,1
1,5,15,R0C0,34,5000,-1000,5000,1000,5000,1000,1
1,6,16,R0C0,3,6000,-1000,6000,1000,6000,1000,1
1,7,17,R0C0,,7000,-1000,7000,1000,7000,1000,1
1,8,18,R0C0,,8000,-1000,8000,1000,8000,1000,1
1,9,19,R0C0,,9000,-1000,9000,1000,9000,1000,1
1,10,20,R0C0,,10000,-1000,10000,1000,10000,1000,1
1,11,21,R0C0,,11000,-1000,11000,1000,11000,1000,1
1,12,22,R0C0,,12000,-1000,12000,1000,12000,1000,1
2,1,23,R0C0,,1000,-2000,1000,2000,1000,2000,1
2,2,24,R0C0,,2000,-2000,2000,2000,2000,2000,1
2,3,25,R0C0,,3000,-2000,3000,2000,3000,2000,1
2,4,26,R0C0,,4000,-2000,4000,2000,4000,2000,1
2,5,27,R0C0,,5000,-2000,5000,2000,5000,2000,1
2,6,28,R0C0,,6000,-2000,6000,2000,6000,2000,1
2,7,29,R0C0,,7000,-2000,7000,2000,7000,2000,1
2,8,30,R0C0,,8000,-2000,8000,2000,8000,2000,1
2,9,31,R0C0,,9000,-2000,9000,2000,9000,2000,1
2,10,32,R0C0,,10000,-2000,10000,2000,10000,2000,1
2,11,33,R0C0,,11000,-2000,11000,2000,11000,2000,1
2,12,34,R0C0,,12000,-2000,12000,2000,12000,2000,1
3,0,35,R0C0,,0,-3000,0,3000,0,3000,1
3,1,36,R0C0,,1000,-3000,1000,3000,1000,3000,1
3,2,37,R0C0,,2000,-3000,2000,3000,2000,3000,1
3,3,38,R0C0,,3000,-3000,3000,3000,3000,3000,1
3,4,39,R0C0,,4000,-3000,4000,3000,4000,3000,1
3,5,40,R0C0,,5000,-3000,5000,3000,5000,3000,1
3,6,41,R0C0,,6000,-3000,6000,3000,6000,3000,1
3,7,42,R0C0,,7000,-3000,7000,3000,7000,3000,1
3,8,43,R0C0,,8000,-3000,8000,3000,8000,3000,1
3,9,44,R0C0,,9000,-3000,9000,3000,9000,3000,1
3,10,45,R0C0,,10000,-3000,10000,3000,10000,3000,1
3,11,46,R0C0,,11000,-3000,11000,3000,11000,3000,1
3,12,47,R0C0,,12000,-3000,12000,3000,12000,3000,1
3,13,48,R0C0,,13000,-3000,13000,3000,13000,3000,1
4,1,49,R0C0,,1000,-4000,1000,4000,1000,4000,1
4,2,50,R0C0,,2000,-4000,2000,4000,2000,4000,1
4,3,51,R0C0,,3000,-4000,3000,4000,3000,4000,1
4,4,52,R0C0,,4000,-4000,4000,4000,4000,4000,1
4,5,53,R0C0,,5000,-4000,5000,4000,5000,4000,1
4,6,54,R0C0,,6000,-4000,6000,4000,6000,4000,1
4,7,55,R0C0,,7000,-4000,7000,4000,7000,4000,1
4,8,56,R0C0,,8000,-4000,8000,4000,8000,4000,1
4,9,57,R0C0,,9000,-4000,9000,4000,9000,4000,1
4,10,58,R0C0,,10000,-4000,10000,4000,10000,4000,1
4,11,59,R0C0,,11000,-4000,11000,4000,11000,4000,1
4,12,60,R0C0,,12000,-4000,12000,4000,12000,4000,1
4,13,61,R0C0,,13000,-4000,13000,4000,13000,4000,1
5,0,62,R0C0,,0,-5000,0,5000,0,5000,1
5,1,63,R0C0,,1000,-5000,1000,5000,1000,5000,1
5,2,64,R0C0,,2000,-5000,2000,5000,2000,5000,1
5,3,65,R0C0,,3000,-5000,3000,5000,3000,5000,1
5,4,66,R0C0,,4000,-5000,4000,5000,4000,5000,1
5,5,67,R0C0,,5000,-5000,5000,5000,5000,5000,1
5,6,68,R0C0,,6000,-5000,6000,5000,6000,5000,1
5,7,69,R0C0,,7000,-5000,7000,5000,7000,5000,1
5,8,70,R0C0,,8000,-5000,8000,5000,8000,5000,1
5,9,71,R0C0,,9000,-5000,9000,5000,9000,5000,1
5,10,72,R0C0,,10000,-5000,10000,5000,10000,5000,1
5,11,73,R0C0,,11000,-5000,11000,5000,11000,5000,1
5,12,74,R0C0,,12000,-5000,12000,5000,12000,5000,1
5,13,75,R0C0,,13000,-5000,13000,5000,13000,5000,1
6,0,76,R0C0,,0,-6000,0,6000,0,6000,1
6,1,77,R0C0,,1000,-6000,1000,6000,1000,6000,1
6,2,78,R0C0,,2000,-6000,2000,6000,2000,6000,1
6,3,79,R0C0,,3000,-6000,3000,6000,3000,6000,1
6,4,80,R0C0,,4000,-6000,4000,6000,4000,6000,1
6,5,81,R0C0,,5000,-6000,5000,6000,5000,6000,1
6,6,82,R0C0,,6000,-6000,6000,6000,6000,6000,1
6,7,83,R0C0,,7000,-6000,7000,6000,7000,6000,1
6,8,84,R0C0,,8000,-6000,8000,6000,8000,6000,1
6,9,85,R0C0,,9000,-6000,9000,6000,9000,6000,1
6,10,86,R0C0,,10000,-6000,10000,6000,10000,6000,1
6,11,87,R0C0,,11000,-6000,11000,6000,11000,6000,1
6,12,88,R0C0,,12000,-6000,12000,6000,12000,6000,1
6,13,89,R0C0,,13000,-6000,13000,6000,13000,6000,1
7,0,90,R0C0,,0,-7000,0,7000,0,7000,1
7,1,91,R0C0,,1000,-7000,1000,7000,1000,7000,1
7,2,92,R0C0,,2000,-7000,2000,7000,2000,7000,1
7,3,93,R0C0,,3000,-7000,3000,7000,3000,7000,1
7,4,94,R0C0,,4000,-7000,4000,7000,4000,7000,1
7,5,95,R0C0,,5000,-7000,5000,7000,5000,7000,1
7,6,96,R0C0,,6000,-7000,6000,7000,6000,7000,1
7,7,97,R0C0,,7000,-7000,7000,7000,7000,7000,1
7,8,98,R0C0,,8000,-7000,8000,7000,8000,7000,1
7,9,99,R0C0,,9000,-7000,9000,7000,9000,7000,1
7,10,100,R0C0,,10000,-7000,10000,7000,10000,7000,1
7,11,101,R0C0,,11000,-7000,11000,7000,11000,7000,1
7,12,102,R0C0,,12000,-7000,12000,7000,12000,7000,1
7,13,103,R0C0,,13000,-7000,13000,7000,13000,7000,1
8,0,104,R0C0,,0,-8000,0,8000,0,8000,1
8,1,105,R0C0,,1000,-8000,1000,8000,1000,8000,1
8,2,106,R0C0,,2000,-8000,2000,8000,2000,8000,1
8,3,107,R0C0,,3000,-8000,3000,8000,3000,8000,1
8,4,108,R0C0,,4000,-8000,4000,8000,4000,8000,1
8,5,109,R0C0,,5000,-8000,5000,8000,5000,8000,1
8,6,110,R0C0,,6000,-8000,6000,8000,6000,8000,1
8,7,111,R0C0,,7000,-8000,7000,8000,7000,8000,1
8,8,112,R0C0,,8000,-8000,8000,8000,8000,8000,1
8,9,113,R0C0,,9000,-8000,9000,8000,9000,8000,1
8,10,114,R0C0,,10000,-8000,10000,8000,10000,8000,1
8,11,115,R0C0,,11000,-8000,11000,8000,11000,8000,1
8,12,116,R0C0,,12000,-8000,12000,8000,12000,8000,1
8,13,117,R0C0,,13000,-8000,13000,8000,13000,8000,1
9,0,118,R0C0,,0,-9000,0,9000,0,9000,1
9,1,119,R0C0,,1000,-9000,1000,9000,1000,9000,1
9,2,120,R0C0,,2000,-9000,2000,9000,2000,9000,1
9,3,121,R0C0,,3000,-9000,3000,9000,3000,9000,1
9,4,122,R0C0,,4000,-9000,4000,9000,4000,9000,1
9,5,123,R0C0,,5000,-9000,5000,9000,5000,9000,1
9,6,124,R0C0,,6000,-9000,6000,9000,6000,9000,1
9,7,125,R0C0,,7000,-9000,7000,9000,7000,9000,1
9,8,126,R0C0,,8000,-9000,8000,9000,8000,9000,1
9,9,127,R0C0,,9000,-9000,9000,9000,9000,9000,1
9,10,128,R0C0,,10000,-9000,10000,9000,10000,9000,1
9,11,129,R0C0,,11000,-9000,11000,9000,11000,9000,1
9,12,130,R0C0,,12000,-9000,12000,9000,12000,9000,1
9,13,131,R0C0,,13000,-9000,13000,9000,13000,9000,1
10,0,132,R0C0,,0,-10000,0,10000,0,10000,1
10,2,133,R0C0,,2000,-10000,2000,10000,2000,10000,1
10,3,134,R0C0,,3000,-10000,3000,10000,3000,10000,1
10,4,135,R0C0,,4000,-10000,4000,10000,4000,10000,1
10,5,136,R0C0,,5000,-10000,5000,10000,5000,10000,1
10,6,137,R0C0,,6000,-10000,6000,10000,6000,10000,1
10,7,138,R0C0,,7000,-10000,7000,10000,7000,10000,1
10,8,139,R0C0,,8000,-10000,8000,10000,8000,10000,1
10,9,140,R0C0,,9000,-10000,9000,10000,9000,10000,1
10,10,141,R0C0,,10000,-10000,10000,10000,10000,10000,1
10,11,142,R0C0,,11000,-10000,11000,10000,11000,10000,1
10,12,143,R0C0,,12000,-10000,12000,10000,12000,10000,1
10,13,144,R0C0,,13000,-10000,13000,10000,13000,10000,1
11,0,145,R0C0,,0,-11000,0,11000,0,11000,1
11,2,146,R0C0,,2000,-11000,2000,11000,2000,11000,1
11,3,147,R0C0,,3000,-11000,3000,11000,3000,11000,1
11,4,148,R0C0,,4000,-11000,4000,11000,4000,11000,1
11,5,149,R0C0,,5000,-11000,5000,11000,5000,11000,1
11,6,150,R0C0,,6000,-11000,6000,11000,6000,11000,1
11,7,151,R0C0,,7000,-11000,7000,11000,7000,11000,1
11,8,152,R0C0,,8000,-11000,8000,11000,8000,11000,1
11,9,153,R0C0,,9000,-11000,9000,11000,9000,11000,1
11,10,154,R0C0,,10000,-11000,10000,11000,10000,11000,1
11,11,155,R0C0,,11000,-11000,11000,11000,11000,11000,1
11,12,156,R0C0,,12000,-11000,12000,11000,12000,11000,1
11,13,157,R0C0,,13000,-11000,13000,11000,13000,11000,1
12,0,158,R0C0,,0,-12000,0,12000,0,12000,1
12,1,159,R0C0,,1000,-12000,1000,12000,1000,12000,1
12,5,160,R0C0,,5000,-12000,5000,12000,5000,12000,1
12,6,161,R0C0,,6000,-12000,6000,12000,6000,12000,1
12,7,162,R0C0,,7000,-12000,7000,12000,7000,12000,1
12,8,163,R0C0,,8000,-12000,8000,12000,8000,12000,1
12,9,164,R0C0,,9000,-12000,9000,12000,9000,12000,1
12,10,165,R0C0,,10000,-12000,10000,12000,10000,12000,1
12,11,166,R0C0,,11000,-12000,11000,12000,11000,12000,1
13,0,167,R0C0,,0,-13000,0,13000,0,13000,1
13,1,168,R0C0,,1000,-13000,1000,13000,1000,13000,1
13,2,169,R0C0,,2000,-13000,2000,13000,2000,13000,1
13,3,170,R0C0,,3000,-13000,3000,13000,3000,13000,1
13,4,171,R0C0,,4000,-13000,4000,13000,4000,13000,1
13,5,172,R0C0,,5000,-13000,5000,13000,5000,13000,1
13,6,173,R0C0,,6000,-13000,6000,13000,6000,13000,1
13,7,174,R0C0,,7000,-13000,7000,13000,7000,13000,1
13,8,175,R0C0,,8000,-13000,8000,13000,8000,13000,1
13,9,176,R0C0,,9000,-13000,9000,13000,9000,13000,1
